Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate,Location
2017,608,104283,104283,88 George Street,East Melbourne,Residential,2,144.9873922,-37.81515199,"(-37.81515199, 144.9873922)"
2017,502,105529,105529,3 Lennon Street,West Melbourne (Industrial),Private,28,144.9301451,-37.80098987,"(-37.80098987, 144.9301451)"
2017,525,105215,105215,27 Kensington Road,Kensington,Residential,2,144.9268849,-37.79486439,"(-37.79486439, 144.9268849)"
2017,915,103794,103794,58 Fitzgibbon Street,Parkville,Residential,1,144.9571765,-37.79495725,"(-37.79495725, 144.9571765)"
2017,438,568043,568043,37-49 Milton Street,West Melbourne (Residential),Residential,24,144.953372,-37.80766674,"(-37.80766674, 144.953372)"
2017,536,111242,111242,25 Baulderstone Walk,Kensington,Residential,2,144.921571,-37.79563287,"(-37.79563287, 144.921571)"
2017,224,101413,101413,97-99 Canning Street,Carlton,Residential,1,144.9727425,-37.79693049,"(-37.79693049, 144.9727425)"
2017,309,106297,106297,243-251 Macaulay Road,North Melbourne,Private,25,144.9385381,-37.79561511,"(-37.79561511, 144.9385381)"
2017,252,102626,102626,75-91 Drummond Street,Carlton,Residential,61,144.9672591,-37.80470202,"(-37.80470202, 144.9672591)"
2017,808,108051,108051,129-131 Queens Bridge Street,Southbank,Private,3,144.960599,-37.82511676,"(-37.82511676, 144.960599)"
2017,551,104108,104108,23 Gardner Lane,Kensington,Residential,1,144.922285,-37.7922429,"(-37.7922429, 144.922285)"
2017,204,591507,591507,375 Cardigan Street,Carlton,Commercial,722,144.9656348,-37.79761356,"(-37.79761356, 144.9656348)"
2017,609,104995,104995,78-82 Hotham Street,East Melbourne,Residential,1,144.9876913,-37.81411344,"(-37.81411344, 144.9876913)"
2017,868,107801,107801,571-573 Punt Road,South Yarra,Residential,3,144.9854983,-37.84176868,"(-37.84176868, 144.9854983)"
2017,355,109807,109807,438 Victoria Street,North Melbourne,Residential,2,144.9516361,-37.80508802,"(-37.80508802, 144.9516361)"
2017,536,111405,111405,7 Baulderstone Walk,Kensington,Residential,2,144.9212793,-37.79531221,"(-37.79531221, 144.9212793)"
2017,567,102285,102285,14 Cuffe Walk,Kensington,Residential,1,144.9227723,-37.79062848,"(-37.79062848, 144.9227723)"
2017,610,104509,104509,43 Grey Street,East Melbourne,Residential,1,144.9879393,-37.81238457,"(-37.81238457, 144.9879393)"
2017,810,576748,576748,70-92 Kavanagh Street,Southbank,Residential,282,144.9630339,-37.82468536,"(-37.82468536, 144.9630339)"
2017,857,100277,100277,56-60 Airlie Street,South Yarra,Residential,1,144.9872708,-37.83153099,"(-37.83153099, 144.9872708)"
2017,318,102827,102827,341-353 Dryburgh Street,North Melbourne,Residential,1,144.9441986,-37.79771629,"(-37.79771629, 144.9441986)"
2017,739,620273,620273,33-43 Sturt Street,Southbank,Private,38,,,
2017,23,102095,102095,401-403 Collins Street,Melbourne (CBD),Private,12,144.9612229,-37.81739636,"(-37.81739636, 144.9612229)"
2017,104,100167,100167,106-116 A'Beckett Street,Melbourne (CBD),Private,54,144.9599969,-37.80914342,"(-37.80914342, 144.9599969)"
2017,710,108623,108623,405 St Kilda Road,Melbourne (Remainder),Private,26,144.9761171,-37.83599631,"(-37.83599631, 144.9761171)"
2017,216,108190,108190,339-341 Rathdowne Street,Carlton,Residential,1,144.9699616,-37.79849694,"(-37.79849694, 144.9699616)"
2017,561,106341,106341,35 McAllister Mews,Kensington,Residential,1,144.9200788,-37.79283249,"(-37.79283249, 144.9200788)"
2017,558,111329,111329,8 Lascelles Square,Kensington,Residential,1,144.9175916,-37.79413075,"(-37.79413075, 144.9175916)"
2017,254,100569,100569,35 Argyle Place South,Carlton,Residential,1,144.9651881,-37.80362761,"(-37.80362761, 144.9651881)"
2017,862,106644,106644,123-131 Millswyn Street,South Yarra,Residential,11,144.9801845,-37.83437683,"(-37.83437683, 144.9801845)"
2017,558,111331,111331,77 Francis Lane,Kensington,Residential,1,144.9176399,-37.79406274,"(-37.79406274, 144.9176399)"
2017,318,108726,108726,4 Shiel Street,North Melbourne,Residential,1,144.9441249,-37.79759226,"(-37.79759226, 144.9441249)"
2017,406,108919,108919,602-604 Spencer Street,West Melbourne (Residential),Residential,1,144.9463814,-37.80647112,"(-37.80647112, 144.9463814)"
2017,558,110823,110823,4 Speakmen Street,Kensington,Residential,1,144.9182379,-37.79410128,"(-37.79410128, 144.9182379)"
