MeterId,AssetId,Barcode,CreditCard,TapAndGo,MeterType,StreetName,Longitude,Latitude,Location
GPW1,1647783,MPM1647783,YES,YES,Reino TTX-S,Geographe Street,144.94519526513153,-37.81969027975531,"(-37.819690279755, 144.945195265132)"
124TA,1629539,MPM1629539,YES,YES,Cale CWT-C,Dodds Street,144.96724468306365,-37.83060990590586,"(-37.830609905906, 144.967244683064)"
337A,1647784,MPM1647784,YES,YES,Reino TTX-S,Rosslyn Street,144.9478551755557,-37.80989660231165,"(-37.809896602312, 144.947855175556)"
337B,1647785,MPM1647785,YES,YES,Reino TTX-S,Rosslyn Street,144.9488595960221,-37.80966518942013,"(-37.80966518942, 144.948859596022)"
209A,1647645,MPM1647645,YES,YES,Reino TTX-S,Bedford Street,144.95615700585253,-37.801968545863815,"(-37.801968545864, 144.956157005853)"
374A,1647646,MPM1647646,YES,YES,Reino TTX-S,Victoria Street,144.9555910475334,-37.805948273607896,"(-37.805948273608, 144.955591047533)"
352A,1647105,MPM1647105,YES,YES,Reino TVX,Victoria Street,144.9697232970336,-37.80728011456029,"(-37.80728011456, 144.969723297034)"
PRE2,1620156,MPM1620156,YES,NO,Reino VX1,Pearl River Road,144.93656404982576,-37.81277820071696,"(-37.812778200717, 144.936564049826)"
130B,1647787,MPM1647787,YES,YES,Reino TTX-S,Walsh Street,144.9529741224953,-37.80827827327172,"(-37.808278273272, 144.952974122495)"
380A,1647788,MPM1647788,YES,YES,Reino TTX-S,Howard Street,144.95336846724513,-37.806669419600226,"(-37.8066694196, 144.953368467245)"
380B,1647789,MPM1647789,YES,YES,Reino TTX-S,Howard Street,144.9535632360357,-37.80680653903779,"(-37.806806539038, 144.953563236036)"
206A,1647735,MPM1647735,YES,YES,Reino TTX-S,The Avenue,144.9571547408052,-37.78886821935832,"(-37.788868219358, 144.957154740805)"
ZOOT22,1629557,MPM1629557,YES,YES,Cale CWT-C,Elliott Avenue,144.95196904117554,-37.78677191866955,"(-37.78677191867, 144.951969041176)"
ZOOT17,1629560,MPM1629560,YES,YES,Cale CWT-C,Elliott Avenue,144.95421736115708,-37.784938633437584,"(-37.784938633438, 144.954217361157)"
ZOOT18,1629568,MPM1629568,YES,YES,Cale CWT-C,Elliott Avenue,144.95483629984093,-37.78444922853569,"(-37.784449228536, 144.954836299841)"
722A,1647318,MPM1647318,YES,YES,Cale CWT-C Touch,Riverside Quay,144.96358349512153,-37.82159253061528,"(-37.821592530615, 144.963583495122)"
728A,1647319,MPM1647319,YES,YES,Cale CWT-C Touch,Clarke Street,144.95904815971736,-37.826461067256666,"(-37.826461067257, 144.959048159717)"
615A,1647320,MPM1647320,YES,YES,Cale CWT-C Touch,Flinders Lane,144.95763129158112,-37.81930823861795,"(-37.819308238618, 144.957631291581)"
615B,1647321,MPM1647321,YES,YES,Cale CWT-C Touch,Flinders Lane,144.95925324938588,-37.81883847209113,"(-37.818838472091, 144.959253249386)"
587A,1647322,MPM1647322,YES,YES,Cale CWT-C Touch,Spencer Street,144.95077097053644,-37.81140651871275,"(-37.811406518713, 144.950770970536)"
587B,1647323,MPM1647323,YES,YES,Cale CWT-C Touch,Spencer Street,144.95056149758278,-37.81159141674251,"(-37.811591416743, 144.950561497583)"
718A,1647324,MPM1647324,YES,YES,Cale CWT-C Touch,Kavanagh Street,144.96643276710884,-37.8228267770271,"(-37.822826777027, 144.966432767109)"
718B,1647325,MPM1647325,YES,YES,Cale CWT-C Touch,Kavanagh Street,144.96675688491538,-37.82282574203234,"(-37.822825742032, 144.966756884915)"
631A,1647328,MPM1647328,YES,YES,Cale CWT-C Touch,Little Collins Street,144.9592413025957,-37.81652109223487,"(-37.816521092235, 144.959241302596)"
631B,1647329,MPM1647329,YES,YES,Cale CWT-C Touch,Little Collins Street,144.95986783238249,-37.81627222189719,"(-37.816272221897, 144.959867832383)"
712A,1647330,MPM1647330,YES,YES,Cale CWT-C Touch,City Road,144.95889793929848,-37.82709316861435,"(-37.827093168614, 144.958897939298)"
