STOP_ID,STOP_NAME,Latitude,Longitude,TICKETZONE,ROUTEUSSP
17867,10-Royal Melbourne Hospital/Royal Pde (Melbourne City),-37.799901,144.957441,1,19
17869,9-Haymarket/Elizabeth St (Melbourne City),-37.802132,144.957743,1,"59,19"
17866,9-Haymarket/Elizabeth St (Melbourne City),-37.801947,144.957464,1,"59,19"
20491,12-Flemington Rd/Peel St (North Melbourne),-37.80153,144.956851,1,58
18210,5-Bourke St/William St (Melbourne City),-37.81544,144.95816,1,58
17908,3-William St/Collins St (Melbourne City),-37.817372,144.959913,1,"11,12,48,109"
18199,5-Bourke St/William St (Melbourne City),-37.815874,144.95825,1,58
17885,3-William St/Bourke St (Melbourne City),-37.815733,144.95789,1,"96,86"
18466,2-Flinders Lane/Market St (Melbourne City),-37.818539,144.960698,1,58
18213,2-Market St/Flinders Lane (Melbourne City),-37.81829,144.960365,1,58
18087,3-Market St/Flinders St (Melbourne City),-37.819199,144.961328,1,"70,75,35"
17597,3-William St/Bourke St (Melbourne City),-37.815882,144.957625,1,"96,86"
18178,3-Market St/Flinders St (Melbourne City),-37.819272,144.96136,1,"70,75,35"
17903,3-William St/Collins St (Melbourne City),-37.817607,144.959429,1,"11,12,48,109"
18211,4-Collins St/William St (Melbourne City),-37.817457,144.959092,1,58
18214,1-Flinders St/Queens Bridge St (Melbourne City),-37.819513,144.96124,1,58
18465,1-Flinders St/Queens Bridge St (Melbourne City),-37.819429,144.961106,1,58
18469,4-Collins St/William St (Melbourne City),-37.817819,144.959173,1,58
18467,3-William St/Flinders Lane (Melbourne City),-37.81864,144.959776,1,58
18035,1-Spencer St/La Trobe St (Melbourne City),-37.813147,144.95168,1,"35,30"
17849,1-Spencer St/Bourke St (Melbourne City),-37.816709,144.954387,1,"96,86"
18192,120-Lonsdale St/Spencer St (Melbourne City),-37.81496,144.952311,1,86
21234,2-Melbourne Aquarium/Flinders St (Melbourne City),-37.820186,144.957972,1,"70,75,35"
21233,2-Melbourne Aquarium/Flinders St (Melbourne City),-37.820344,144.957706,1,"70,75,35"
17848,1-Spencer St/Bourke St (Melbourne City),-37.817063,144.953514,1,"96,86"
17906,1-Spencer St/Collins St (Melbourne City),-37.818773,144.954955,1,"11,12,48,109"
17905,1-Spencer St/Collins St (Melbourne City),-37.818882,144.954998,1,"11,12,48,109"
18194,122-Southern Cross Railway Station/Spencer St (Melbourne City),-37.818776,144.954069,1,96
21231,1-Spencer St/Flinders St (Melbourne City),-37.820893,144.955612,1,"70,75,35"
21232,1-Spencer St/Flinders St (Melbourne City),-37.821043,144.955415,1,"70,75,35"
17856,7-Queen Victoria Market/Elizabeth St (Melbourne City),-37.806652,144.959628,1,"57,59,19"
17871,7-Queen Victoria Market/Elizabeth St (Melbourne City),-37.806954,144.959881,1,"57,59,19"
18174,6-Russell St/Flinders St (Melbourne City),-37.816657,144.970168,1,"70,75,35"
17888,6-Swanston St/Bourke St (Melbourne City),-37.813402,144.965895,1,"96,86"
17593,6-Swanston St/Bourke St (Melbourne City),-37.81352,144.965926,1,"96,86"
19687,10-Bourke Street Mall/Swanston St (Melbourne City),-37.813068,144.965347,1,"16,3/3a,5,6,64,67,72,1"
19497,10-Bourke Street Mall/Swanston St (Melbourne City),-37.813397,144.965611,1,"16,3/3a,5,6,64,67,72,1"
18031,5-Elizabeth St/La Trobe St (Melbourne City),-37.810291,144.961596,1,"35,30"
17854,5-Melbourne Central Station/Elizabeth St (Melbourne City),-37.810558,144.961429,1,"57,59,19"
18045,5-Elizabeth St/La Trobe St (Melbourne City),-37.810355,144.961117,1,"35,30"
17857,8-Peel St/Victoria St (Melbourne City),-37.805981,144.956251,1,57
