Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Dwelling type,Dwelling number,x coordinate,y coordinate,Location
2017,438,558820,558820,54-56 Walsh Street,West Melbourne (Residential),House/Townhouse,1,144.9527228,-37.80820209,"(-37.80820209, 144.9527228)"
2017,2524,616049,616049,170 Bellair Street,Kensington,Residential Apartments,1,144.9299154,-37.79353782,"(-37.79353782, 144.9299154)"
2017,354,614213,614213,2 Victoria Court,North Melbourne,House/Townhouse,1,144.9503638,-37.80477133,"(-37.80477133, 144.9503638)"
2017,858,107818,107818,765 Punt Road,South Yarra,Residential Apartments,7,144.9865296,-37.83668585,"(-37.83668585, 144.9865296)"
2017,2513,615136,615136,17 Gordon Crescent,Kensington,House/Townhouse,1,144.926585,-37.79112333,"(-37.79112333, 144.926585)"
2017,1108,604118,604118,834-846 Bourke Street,Docklands,Residential Apartments,133,144.9431188,-37.81977079,"(-37.81977079, 144.9431188)"
2017,2512,617929,617929,34 Export Lane,Kensington,House/Townhouse,1,144.9245877,-37.79010297,"(-37.79010297, 144.9245877)"
2017,608,107684,107684,127-143 Hotham Street,East Melbourne,Residential Apartments,11,144.9859257,-37.81442032,"(-37.81442032, 144.9859257)"
2017,917,103766,103766,17 Fitzgibbon Street,Parkville,House/Townhouse,1,144.9563471,-37.79626795,"(-37.79626795, 144.9563471)"
2017,2535,614925,614925,57 Rankins Road,Kensington,House/Townhouse,1,144.9320074,-37.79031325,"(-37.79031325, 144.9320074)"
2017,370,592686,592686,117 Leveson Street,North Melbourne,House/Townhouse,1,144.9511621,-37.80151732,"(-37.80151732, 144.9511621)"
2017,27,103596,103596,57-63 Exhibition Street,Melbourne (CBD),Residential Apartments,1,144.9713152,-37.81460613,"(-37.81460613, 144.9713152)"
2017,2539,614661,614661,69 Smith Street,Kensington,House/Townhouse,1,144.9349036,-37.79148676,"(-37.79148676, 144.9349036)"
2017,526,108283,108283,17 The Ridgeway,Kensington,House/Townhouse,1,144.9261484,-37.79430792,"(-37.79430792, 144.9261484)"
2017,526,105239,105239,66 Kensington Road,Kensington,House/Townhouse,1,144.9251302,-37.79530241,"(-37.79530241, 144.9251302)"
2017,380,103471,103471,242-244 Errol Street,North Melbourne,House/Townhouse,1,144.9509793,-37.79737921,"(-37.79737921, 144.9509793)"
2017,333,107974,107974,612 Queensberry Street,North Melbourne,House/Townhouse,1,144.9470663,-37.80251877,"(-37.80251877, 144.9470663)"
2017,353,101844,101844,84 Chapman Street,North Melbourne,House/Townhouse,1,144.9476346,-37.7951039,"(-37.7951039, 144.9476346)"
2017,227,106858,106858,61-63 Neill Street,Carlton,House/Townhouse,1,144.9726133,-37.79418504,"(-37.79418504, 144.9726133)"
2017,415,573781,573781,29 Ireland Street,West Melbourne (Residential),House/Townhouse,1,144.9450527,-37.80772728,"(-37.80772728, 144.9450527)"
2017,353,101862,101862,20 Chapman Street,North Melbourne,House/Townhouse,7,144.9499461,-37.79697238,"(-37.79697238, 144.9499461)"
2017,2391,617237,617237,10-20 Caytre Crescent,North Melbourne,House/Townhouse,6,144.9397362,-37.79454432,"(-37.79454432, 144.9397362)"
2017,2529,615778,615778,9 Pridham Street,Kensington,House/Townhouse,1,144.9312984,-37.78909333,"(-37.78909333, 144.9312984)"
2017,2546,615315,615315,151 Rankins Road,Kensington,House/Townhouse,1,144.9313635,-37.79371563,"(-37.79371563, 144.9313635)"
2017,860,105580,105580,104-106 Leopold Street,South Yarra,House/Townhouse,1,144.9834193,-37.83512568,"(-37.83512568, 144.9834193)"
2017,356,621950,621950,109 Howard Street,North Melbourne,House/Townhouse,1,144.9536318,-37.80446536,"(-37.80446536, 144.9536318)"
