,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
0,2015,255,109366,109366,127-135 Pelham Street,Carlton,Chai,4511,Cafes and Restaurants,Seats - Indoor,30,-37.80276989, 144.9639453
1,2015,255,109366,109366,127-135 Pelham Street,Carlton,Chai,4511,Cafes and Restaurants,Seats - Outdoor,6,-37.80276989, 144.9639453
2,2015,218,106210,106210,316-318 Lygon Street,Carlton,Copperwood ,4511,Cafes and Restaurants,Seats - Indoor,160,-37.79962339, 144.9676
3,2015,203,103123,103123,258 Elgin Street,Carlton,Foo Go's,4511,Cafes and Restaurants,Seats - Indoor,45,-37.79670704, 144.9655339
4,2015,248,104445,104445,218-224 Drummond Street,Carlton,La Cacciatora Restaurant,4511,Cafes and Restaurants,Seats - Indoor,80,-37.80116198, 144.9685975
5,2015,248,104445,104445,218-224 Drummond Street,Carlton,La Cacciatora Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,26,-37.80116198, 144.9685975
6,2015,243,104453,104453,163 Grattan Street,Carlton,Animal Orchestra,4511,Cafes and Restaurants,Seats - Indoor,48,-37.80059737, 144.9634206
7,2015,243,104453,104453,163 Grattan Street,Carlton,Animal Orchestra,4511,Cafes and Restaurants,Seats - Outdoor,88,-37.80059737, 144.9634206
8,2015,218,104477,104477,48-50 Grattan Street,Carlton,Il Vicolo,4511,Cafes and Restaurants,Seats - Indoor,180,-37.80059699, 144.96788
9,2015,243,105654,105654,22-40 Lincoln Square North,Carlton,Bouverie Deli,4511,Cafes and Restaurants,Seats - Indoor,8,-37.8013409, 144.9627288
10,2015,243,105654,105654,22-40 Lincoln Square North,Carlton,Bouverie Deli,4511,Cafes and Restaurants,Seats - Outdoor,36,-37.8013409, 144.9627288
11,2015,266,106076,106076,1-7 Lygon Street,Carlton,No1 Steam Boat,4511,Cafes and Restaurants,Seats - Indoor,50,-37.80673947, 144.9656386
