,Asset Type,Name,Xorg,Xsource,Address Point,Artist,Alternate Name,Art Date,Mel way Ref,Respective Author,Structure,Easting,Northing,Latitude,Longitude
0,Art,Port Phillip Monument,City of Melbourne,MCC - Ortho Image March 2005 - Final,"178 Sims Street, WEST MELBOURNE",unknown,,1941,2S_K11,City Of Melbourne,Basalt monument,315771.745,5813680.208,-37.8056957854241, 144.907291041632
1,Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,319296.292,5811946.283,-37.8220182164578, 144.946871022845
2,Art,Bird Panels,City of Melbourne,MCC - Ortho Image March 2005 - Final,76 Canning Street,Di Christensen and Bernice McPherson,,1995,2A_E5,City Of Melbourne,Stainless-steel panels,318686.757,5814893.278,-37.7953526839703, 144.940687314302
3,Art,Bandstand,City of Melbourne,MCC - Ortho Image March 2005 - Final,"200 Little Collins Street, MELBOURNE",George Dodd,,1864,2F_G3,City Of Melbourne,Concrete bandstand,321078.689,5812869.352999999,-37.8140548689972, 144.96733868317
4,Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,321690.25256,5812367.239680001,-37.8186973319473, 144.974158800684
5,Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,321690.93246,5812369.8573199995,-37.8186738864394, 144.974167165492
6,Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,321687.56694,5812368.19155,-37.8186882333343, 144.974128540287
7,Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,319286.709,5811958.006,-37.8219107218802, 144.946765134735
8,Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"98 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,321007.165,5812745.295,-37.8151582937289, 144.966495940551
9,Art,Threaded Field,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"687 La Trobe Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,319276.75,5812666.846,-37.8155239604994, 144.946828976445
10,Art,Threaded Field,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"157 Wurundjeri Way, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,319359.203,5812693.754,-37.8152979137773, 144.947771877035
11,Art,Threaded Field,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"687 La Trobe Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,319280.502,5812684.872,-37.8153623400158, 144.946876084269
12,Art,Beyond the Ocean of Existence,City of Melbourne,MCC - Ortho Image March 2005 - Final,"44 Swanston Street, MELBOURNE",Loretta Quinn,,1993,2F_F5,City Of Melbourne,Bronze sculpture on granite plinth,321060.012,5812605.967,-37.8164236569551, 144.967061542145
13,Art,Blowhole,Beveridge Williams Surveyors,Field Survey,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,,2005,2E_G8,City of Melbourne,Stainless-steel and aluminium sculpture,319289.69899999996,5811955.841,-37.8219308131053, 144.946798545611
14,Art,Cow Up A Tree,AAMHatch,AAM Hatch Photogrammetry - March 2005,"135 Harbour Esplanade, DOCKLANDS",John Kelly,,2000,"2E,_G5",City Of Melbourne,Bronze sculpture,319144.272,5812486.484,-37.8171223164672, 144.945279753599
15,Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"104 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,321002.342,5812757.421,-37.8150481212229, 144.966444170774
16,Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"102 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,321003.716,5812753.757,-37.815081401373, 144.966458869013
17,Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"100 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,321005.63,5812749.23,-37.8151225543656, 144.966479473485
18,Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,321686.07115,5812364.55406,-37.8187207058813, 144.974110660022
