,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
0,2015,246,104447,104447,81-109 Grattan Street,Carlton,Tutto Premium Frozen Yogurt And Dessert ,4512,Takeaway Food Services,Seats - Indoor,16,-37.8011023, 144.9661325
1,2015,246,104447,104447,81-109 Grattan Street,Carlton,Tutto Premium Frozen Yogurt And Dessert ,4512,Takeaway Food Services,Seats - Outdoor,16,-37.8011023, 144.9661325
2,2015,246,106111,106111,197 Lygon Street,Carlton,Gelatissimo Carlton,4512,Takeaway Food Services,Seats - Outdoor,18,-37.8010174, 144.9666499
3,2015,246,106112,106112,199 Lygon Street,Carlton,Seasons Provedore,4512,Takeaway Food Services,Seats - Indoor,10,-37.80096704, 144.9666591
4,2015,246,106112,106112,199 Lygon Street,Carlton,Seasons Provedore,4512,Takeaway Food Services,Seats - Outdoor,18,-37.80096704, 144.9666591
5,2015,230,106969,106969,237-239 Nicholson Street,Carlton,French Lettuce,4512,Takeaway Food Services,Seats - Indoor,12,-37.79439894, 144.9751345
6,2015,230,106969,106969,237-239 Nicholson Street,Carlton,French Lettuce,4512,Takeaway Food Services,Seats - Outdoor,9,-37.79439894, 144.9751345
7,2015,226,108229,108229,178 Rathdowne Street,Carlton,Carlton Fish & Chips,4512,Takeaway Food Services,Seats - Indoor,4,-37.79518777, 144.9711835
8,2015,226,108229,108229,178 Rathdowne Street,Carlton,Carlton Fish & Chips,4512,Takeaway Food Services,Seats - Outdoor,4,-37.79518777, 144.9711835
9,2015,218,106200,106200,344 Lygon Street,Carlton,Boost Juice,4512,Takeaway Food Services,Seats - Outdoor,4,-37.79900008, 144.9675043
10,2015,257,525988,525988,165 Pelham Street,Carlton,Uni Square Cafe,4512,Takeaway Food Services,Seats - Indoor,6,-37.80239254, 144.9610729
11,2015,257,525988,525988,165 Pelham Street,Carlton,Uni Square Cafe,4512,Takeaway Food Services,Seats - Outdoor,8,-37.80239254, 144.9610729
12,2015,245,110987,110987,660-674 Swanston Street,Carlton,Momo Sushi ,4512,Takeaway Food Services,Seats - Indoor,18,-37.80099105, 144.9642885
13,2015,245,110987,110987,660-674 Swanston Street,Carlton,Momo Sushi ,4512,Takeaway Food Services,Seats - Outdoor,6,-37.80099105, 144.9642885
14,2015,257,525989,525989,163 Pelham Street,Carlton,Momo Sushi Melbourne,4512,Takeaway Food Services,Seats - Indoor,10,-37.80239894, 144.961131
