Gallery Name,Latitude,Longitude,Number of Takeaways,Number of Seats
Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,44,903
Polly Woodside,-37.82425743,144.9534781,5,87
Australian Centre for Contemporary Art,-37.82660454,144.9672529,3,25
Victorian Arts Centre,-37.82199473,144.9688373,5,79
The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,46,692
Thoroughbred Racing Gallery,-37.81886627,144.9839701,2,53
Fox Classic Car Collection,-37.82137443,144.9484967,13,231
Melbourne Museum,-37.80355181,144.9716907,2,35
National Sports Museum,-37.81895449,144.9846698,2,53
Sinclair's Cottage,-37.81454075,144.980555,0,0
Victoria Police Museum,-37.82221828,144.95404,21,372
Immigration Museum,-37.81917988,144.9604268,55,910
Fire Services Museum Victoria,-37.80857613,144.9753737,6,119
The Ian Potter Museum Of Art,-37.79739396,144.9641567,19,481
Koorie Heritage Trust Inc,-37.81338543,144.9540279,27,496
Cooks' Cottage,-37.81446049,144.9794713,1,10
Royal Exhibition Building,-37.80460262,144.9715219,2,35
Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704,49,773
The Museum Of Australian Chinese History,-37.81076861,144.9692339,48,1043
