Month,Mdate,Time,Hourly_Counts
April,1,0,306.0
April,1,1,199.0
April,1,2,91.0
April,1,3,104.0
April,1,4,42.0
April,1,5,39.0
April,1,6,68.0
April,1,7,84.0
April,1,8,284.0
April,1,9,886.0
April,1,10,1603.0
April,1,11,2530.0
April,1,12,3060.0
April,1,13,3533.0
April,1,14,3830.0
April,1,15,3738.0
April,1,16,3682.0
April,1,17,3356.0
April,1,18,2744.0
April,1,19,1865.0
April,1,20,1012.0
April,1,21,728.0
April,1,22,596.0
April,1,23,406.0
April,2,0,289.0
April,2,1,174.0
April,2,2,90.0
April,2,3,68.0
April,2,4,40.0
April,2,5,20.0
April,2,6,56.0
April,2,7,87.0
April,2,8,280.0
April,2,9,888.0
April,2,10,1527.0
April,2,11,2534.0
April,2,12,3019.0
April,2,13,3524.0
April,2,14,3585.0
April,2,15,3577.0
April,2,16,3312.0
April,2,17,2949.0
April,2,18,2238.0
April,2,19,1218.0
April,2,20,618.0
April,2,21,416.0
April,2,22,274.0
April,2,23,135.0
April,3,0,50.0
April,3,1,44.0
April,3,2,18.0
April,3,3,10.0
April,3,4,16.0
April,3,5,40.0
April,3,6,93.0
April,3,7,340.0
April,3,8,903.0
April,3,9,1088.0
April,3,10,1614.0
April,3,11,2462.0
April,3,12,3727.0
April,3,13,4123.0
April,3,14,3504.0
April,3,15,3458.0
April,3,16,3332.0
April,3,17,3420.0
April,3,18,2614.0
April,3,19,1430.0
April,3,20,734.0
April,3,21,517.0
April,3,22,288.0
April,3,23,162.0
April,4,0,74.0
April,4,1,38.0
April,4,2,31.0
April,4,3,32.0
April,4,4,24.0
April,4,5,36.0
April,4,6,124.0
April,4,7,376.0
April,4,8,902.0
April,4,9,1080.0
April,4,10,1723.0
April,4,11,2348.0
April,4,12,3780.0
April,4,13,4279.0
April,4,14,3506.0
April,4,15,3272.0
April,4,16,3242.0
April,4,17,3620.0
April,4,18,2772.0
April,4,19,1506.0
April,4,20,814.0
April,4,21,614.0
April,4,22,368.0
April,4,23,196.0
April,5,0,86.0
April,5,1,49.0
April,5,2,28.0
April,5,3,19.0
April,5,4,14.0
April,5,5,34.0
April,5,6,110.0
April,5,7,350.0
April,5,8,901.0
April,5,9,1054.0
April,5,10,1557.0
April,5,11,2397.0
April,5,12,3630.0
April,5,13,3986.0
April,5,14,3371.0
April,5,15,3354.0
April,5,16,3248.0
April,5,17,3694.0
April,5,18,3087.0
April,5,19,1935.0
April,5,20,1246.0
April,5,21,767.0
April,5,22,368.0
April,5,23,216.0
April,6,0,92.0
April,6,1,70.0
April,6,2,56.0
April,6,3,44.0
April,6,4,20.0
April,6,5,30.0
April,6,6,103.0
April,6,7,381.0
April,6,8,928.0
April,6,9,1137.0
April,6,10,1714.0
April,6,11,2398.0
April,6,12,3835.0
April,6,13,4236.0
April,6,14,3384.0
April,6,15,3422.0
April,6,16,3428.0
April,6,17,4076.0
April,6,18,3528.0
April,6,19,2464.0
April,6,20,1806.0
April,6,21,1186.0
April,6,22,682.0
April,6,23,336.0
April,7,0,182.0
April,7,1,132.0
April,7,2,98.0
April,7,3,74.0
April,7,4,48.0
April,7,5,26.0
April,7,6,68.0
April,7,7,230.0
April,7,8,658.0
April,7,9,995.0
April,7,10,1642.0
April,7,11,2584.0
April,7,12,3510.0
April,7,13,4016.0
April,7,14,3702.0
April,7,15,3834.0
April,7,16,3648.0
April,7,17,4031.0
April,7,18,3312.0
April,7,19,2407.0
April,7,20,1728.0
April,7,21,1190.0
April,7,22,881.0
April,7,23,488.0
April,8,0,302.0
April,8,1,218.0
April,8,2,168.0
April,8,3,120.0
April,8,4,44.0
April,8,5,36.0
April,8,6,34.0
April,8,7,154.0
April,8,8,350.0
April,8,9,799.0
April,8,10,1685.0
April,8,11,2506.0
April,8,12,3052.0
April,8,13,3473.0
April,8,14,3418.0
April,8,15,3517.0
April,8,16,2954.0
April,8,17,2496.0
April,8,18,2236.0
April,8,19,1392.0
April,8,20,436.0
April,8,21,408.0
April,8,22,296.0
April,8,23,257.0
April,9,0,205.0
April,9,1,150.0
April,9,2,104.0
April,9,3,57.0
April,9,4,68.0
April,9,5,59.0
April,9,6,80.0
April,9,7,242.0
April,9,8,557.0
April,9,9,855.0
April,9,10,1349.0
April,9,11,2109.0
April,9,12,2991.0
April,9,13,3358.0
April,9,14,3028.0
April,9,15,2858.0
April,9,16,2796.0
April,9,17,2795.0
April,9,18,1916.0
April,9,19,1229.0
April,9,20,356.0
April,9,21,160.0
April,9,22,94.0
April,9,23,40.0
April,10,0,32.0
April,10,1,24.0
April,10,2,18.0
April,10,3,14.0
April,10,4,18.0
April,10,5,28.0
April,10,6,86.0
April,10,7,314.0
April,10,8,804.0
April,10,9,920.0
April,10,10,1353.0
April,10,11,1986.0
April,10,12,3124.0
April,10,13,3312.0
April,10,14,2784.0
April,10,15,2721.0
April,10,16,2890.0
April,10,17,2964.0
April,10,18,2272.0
April,10,19,693.0
April,10,20,364.0
April,10,21,214.0
April,10,22,148.0
April,10,23,64.0
April,11,0,34.0
April,11,1,14.0
April,11,2,15.0
April,11,3,6.0
April,11,4,12.0
April,11,5,20.0
April,11,6,120.0
April,11,7,329.0
April,11,8,868.0
April,11,9,1046.0
April,11,10,1454.0
April,11,11,2153.0
April,11,12,3425.0
April,11,13,3756.0
April,11,14,3048.0
April,11,15,3192.0
April,11,16,3026.0
April,11,17,3386.0
April,11,18,2670.0
April,11,19,1433.0
April,11,20,746.0
April,11,21,548.0
April,11,22,329.0
April,11,23,140.0
April,12,0,93.0
April,12,1,61.0
April,12,2,26.0
April,12,3,30.0
April,12,4,12.0
April,12,5,35.0
April,12,6,118.0
April,12,7,336.0
April,12,8,778.0
April,12,9,950.0
April,12,10,1421.0
April,12,11,2194.0
April,12,12,3377.0
April,12,13,3707.0
April,12,14,3308.0
April,12,15,3185.0
April,12,16,3158.0
April,12,17,3576.0
April,12,18,2983.0
April,12,19,1868.0
April,12,20,1126.0
April,12,21,832.0
April,12,22,432.0
April,12,23,236.0
April,13,0,106.0
