,Gallery Name,Latitude,Longitude,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,Old Melbourne Gaol Crime,-37.80776441,144.9654639,569.0,945.0,850.0,1017.0,758.0,903.0,796.0
1,Victorian Arts Centre,-37.82199473,144.96883730000002,2345.0,1572.0,1835.0,1672.0,1897.0,1884.0,2012.0
2,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,658.0,785.0,810.0,806.0,867.0,923.0,583.0
3,Thoroughbred Racing Gallery,-37.81886627,144.9839701,202.0,598.0,538.0,636.0,576.0,740.0,317.0
4,Fox Classic Car Collection,-37.82137443,144.9484967,158.0,754.0,671.0,785.0,692.0,876.0,335.0
5,Koorie Heritage Trust Inc,-37.81338543,144.9540279,602.0,1034.0,1003.0,1077.0,1017.0,1152.0,777.0
6,Australian Centre For The Moving Image (ACMI),-37.81761073,144.96907040000002,1289.0,1386.0,1439.0,1445.0,1506.0,1703.0,1323.0
7,Blindside Gallery,-37.816711,144.966812,2130.0,2602.0,2641.0,2704.0,2624.0,2844.0,2519.0
8,Flinders Lane Gallery,-37.815715000000004,144.970033,1613.0,2011.0,2066.0,2076.0,2043.0,2258.0,1964.0
9,Mailbox Art Space,-37.815758,144.969861,1557.0,1961.0,2011.0,2024.0,1990.0,2202.0,1900.0
10,RMIT Gallery,-37.8125865,144.95545790000003,369.0,553.0,551.0,571.0,544.0,602.0,451.0
11,Neon Parc,-37.813891999999996,144.96402,1468.0,1689.0,1684.0,1748.0,1715.0,1887.0,1792.0
12,Outre Gallery,-37.812816,144.962224,1082.0,1305.0,1322.0,1327.0,1303.0,1415.0,1333.0
13,Anna Schwartz Gallery,-37.816047999999995,144.96889,1166.0,1606.0,1622.0,1661.0,1619.0,1808.0,1451.0
14,ARC ONE Gallery,-37.81473,144.97308,196.0,567.0,510.0,603.0,546.0,705.0,305.0
15,Gallery Funaki,-37.811609000000004,144.971399,181.0,687.0,616.0,733.0,657.0,813.0,322.0
16,Lesley Kehoe Galleries,-37.814921999999996,144.97052,149.0,681.0,614.0,705.0,643.0,819.0,285.0
17,SpACE@Collins,-37.815775,144.964823,2049.0,2375.0,2456.0,2480.0,2419.0,2692.0,2514.0
18,Tolarno Galleries,-37.813133,144.97133,199.0,865.0,776.0,899.0,818.0,1023.0,369.0
19,Immigration Museum,-37.81837410000001,144.9592075,364.0,994.0,913.0,1055.0,944.0,1099.0,568.0
20,National Gallery of Victoria,-37.822594200000005,144.96892780000002,2343.0,1566.0,1815.0,1663.0,1876.0,1862.0,2022.0
21,The Dax Centre,-37.7982687,144.9585509,278.0,709.0,581.0,765.0,561.0,742.0,290.0
22,Fortyfivedownstairs Inc,-37.816955799999995,144.97088469999997,921.0,631.0,727.0,641.0,788.0,803.0,703.0
23,Pieces of Eight Gallery,-37.8134924,144.96738380000002,2291.0,2430.0,2468.0,2523.0,2498.0,2736.0,2687.0
24,Magnet Galleries Melbourne,-37.8165815,144.9523872,1129.0,2130.0,2005.0,2203.0,2040.0,2313.0,1492.0
