,sensor_id,latitude,longitude
0,1,-37.8134944,144.9651532
1,2,-37.81380667,144.9651672
2,3,-37.81101523,144.9642949
3,4,-37.81487988,144.9660878
4,5,-37.81874249,144.9678766
5,6,-37.81911704,144.9655826
6,8,-37.82293543,144.9471751
7,9,-37.81982992,144.9510256
8,10,-37.81876473,144.9471055
9,11,-37.81564989,144.939707
10,12,-37.81457987,144.942924
11,14,-37.82011242,144.962919
12,17,-37.81362542,144.9732359
13,18,-37.81344861,144.9730535
14,19,-37.81237202,144.9655067
15,20,-37.81172913,144.9682466
16,21,-37.81244703,144.9677876
17,22,-37.81786445,144.9650682
18,23,-37.81909256,144.9545275
19,24,-37.81887962,144.954492
20,25,-37.82401776,144.9560443
21,26,-37.80869542,144.960494
22,27,-37.80606888,144.9564469
23,28,-37.82129924,144.9687931
25,30,-37.81121849,144.9665681
26,31,-37.8016968,144.9665891
27,33,-37.81483252,144.9745406
28,34,-37.81537985,144.9741505
29,35,-37.82017828,144.9650888
30,36,-37.81652527,144.9612106
31,37,-37.80310271,144.9667145
32,39,-37.81379749,144.9699575
33,40,-37.80999341,144.9722759
34,42,-37.80008565,144.9638641
35,43,-37.79844525,144.9641178
36,44,-37.79690473,144.9644038
37,46,-37.80240719,144.9615673
38,47,-37.81160331,144.9622008
39,48,-37.80631581,144.958667
40,49,-37.80730067,144.9595606
41,50,-37.79808191,144.9672101
42,51,-37.80841814,144.9590632
43,52,-37.81252157,144.9619401
44,53,-37.8156419,144.965499
45,54,-37.804024,144.963084
46,56,-37.81234775,144.9615331
47,57,-37.8176735,144.950256
48,58,-37.81686074,144.9535808
49,59,-37.80825648,144.9630486
50,101,-37.817771,144.957951
51,102,-37.81447,144.96197
52,13,-37.812397,144.956526
53,103,-37.810979,144.958897
54,104,-37.8155,144.97005
55,105,-37.808234,144.968757
56,106,-37.81319,144.95174
57,107,-37.81563,144.95823
58,108,-37.82038,144.95746
59,109,-37.81934,144.96075
60,110,-37.80892,144.96634
