Trading name,Industry (ANZSIC4) description,Longitude,Latitude
Zgonic,Other Furniture Manufacturing,144.90921740000002,-37.82586856
Sambal Kampung,Takeaway Food Services,144.96659780000002,-37.81376503
Vacant,Vacant Space,144.9503243,-37.808428
The Tea Room,Cafes and Restaurants,144.96863380000002,-37.82281707
Han Guuk Guan Korean Restaurant,Cafes and Restaurants,144.9679821,-37.8075865
Sarti,Clothing Retailing,144.967574,-37.81012652
ING Direct,Banking,144.9589224,-37.81630648
CNC Project Management,Engineering Design and Engineering Consulting Services,144.965095,-37.81763649
Medley Hall,Accommodation,144.967959,-37.80577223
BMO Capital Markets ,Other Auxiliary Finance and Investment Services,144.9693797,-37.81398457
Southern Pacific Health Clubs,Health and Fitness Centres and Gymnasia Operation,144.9573923,-37.81531863
Economic Indicator Services,Management Advice and Other Consulting Services,144.9661707,-37.81699341
ArthroHealth,Specialist Medical Services,144.9841619,-37.81229599
McDonalds,Cafes and Restaurants,144.95834319999997,-37.82559096
Vacant,Vacant Space,144.9700956,-37.82936085
Melbourne Diocesan Historical Commission,Museum Operation,144.9776584,-37.80945553
Cafe Mesh,Takeaway Food Services,144.9627888,-37.81722704
Bunyip Tours,Travel Agency and Tour Arrangement Services,144.95534650000002,-37.82072034
Light Rail Consultants,Engineering Design and Engineering Consulting Services,144.9618186,-37.81514598
Bell Potter Securities,Management Advice and Other Consulting Services,144.97074980000002,-37.81492031
Wah Lien Trading Pty Ltd,Other Grocery Wholesaling,144.9331086,-37.79711043
Royal Victorian Eye & Ear Hospital,Hospitals (except Psychiatric Hospitals),144.97625580000002,-37.80899054
Fender Katsalidis,Architectural Services,144.9633303,-37.82132851
7-Eleven,Convenience Store,144.9621886,-37.81758572
Nemesis International Travel Agency,Travel Agency and Tour Arrangement Services,144.9712561,-37.81268978
Mui Karaoke,"Pubs, Taverns and Bars",144.9643593,-37.81143223
Slade Group,Employment Placement and Recruitment Services,144.9591876,-37.8192157
Vacant,Vacant Space,144.9874881,-37.81636985
Stopover Youth Services,Other Residential Care Services,144.9726635,-37.80065612
Esuperfund,Superannuation Funds,144.9490176,-37.81792089
Allied Lending,Other Auxiliary Finance and Investment Services,144.95587790000002,-37.81385045
RMIT Gallery ,Museum Operation,144.9645504,-37.80818365
Roadhouse,Clothing Retailing,144.951187,-37.81501701
Cafe Cavallino,Cafes and Restaurants,144.9664496,-37.80128848
The Melbourne Headshot Company,Professional Photographic Services,144.9645574,-37.81567229
Family Relationship Office,Other Social Assistance Services,144.9620054,-37.81714399
JH Accountants & Advisors ,Accounting Services,144.96236580000001,-37.80901205
New Horizon Migration Consulting,Other Personal Services n.e.c.,144.96884780000002,-37.80454935
One Roof,Other Administrative Services n.e.c.,144.96548190000001,-37.82238874
Vacant,Vacant Space,144.9665431,-37.81169959
Vacant,Vacant Space,144.9665431,-37.81169959
Pat Foca,Other Warehousing and Storage Services,144.95723950000001,-37.80745984
Gilbert & Tobin Lawyers,Legal Services,144.97074980000002,-37.81492031
Collins Street Dental Aesthetics,Dental Services,144.9728919,-37.81330535
The Source Newsagent,Newspaper and Book Retailing,144.95984330000002,-37.81373064
Smart Guide Pty Ltd,Computer System Design and Related Services,144.94379840000002,-37.80526578
Signal,"Creative Artists, Musicians, Writers and Performers",144.9651831,-37.81921536
Cyclone Communications,Advertising Services,144.9567545,-37.82027594
The Art of Dr. Seuss,Other Store-Based Retailing n.e.c.,144.9645574,-37.81567229
Bridges Financial Services Pty Limited,Financial Asset Investing,144.95747319999998,-37.81753383
United Currency,Other Auxiliary Finance and Investment Services,144.9639969,-37.81152964
C.P. Merchandising Co,Commission-Based Wholesaling,144.93902690000002,-37.81517782
YMCA Docklands ,Health and Fitness Centres and Gymnasia Operation,144.9457644,-37.82205739
Hickory,Other Residential Building Construction,144.9681345,-37.80763862
Australian Sports Commission,Central Government Administration,144.9578132,-37.81636534
Phillips & Cohen Associates,Credit Reporting and Debt Collection Services,144.96289140000002,-37.8210403
Bela Bistro,Cafes and Restaurants,144.9487134,-37.80271962
Prism Imaging,Photographic Film Processing,144.9473057,-37.79431611
Education Zone Australia,Other Personal Services n.e.c.,144.9632938,-37.81554941
