,Gallery Name,Latitude,Longitude,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,Old Melbourne Gaol Crime,-37.80776441,144.9654639,836,840,892,945,931,957,920
1,Victorian Arts Centre,-37.82199473,144.96883730000002,1991,1502,1518,1668,1546,1728,1840
2,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,1143,1037,1075,1117,1088,1194,1080
3,Thoroughbred Racing Gallery,-37.81886627,144.9839701,228,443,469,473,504,508,297
4,Fox Classic Car Collection,-37.82137443,144.9484967,226,622,684,693,710,655,367
5,Koorie Heritage Trust Inc,-37.81338543,144.9540279,854,1158,1199,1225,1312,1325,993
6,Australian Centre For The Moving Image (ACMI),-37.81761073,144.96907040000002,1313,1128,1160,1191,1166,1310,1210
7,Blindside Gallery,-37.816711,144.966812,1971,2223,2258,2377,2390,2465,2177
8,Flinders Lane Gallery,-37.815715000000004,144.970033,381,783,806,813,867,880,516
9,Mailbox Art Space,-37.815758,144.969861,427,822,845,853,906,923,565
10,RMIT Gallery,-37.8125865,144.95545790000003,828,915,954,980,1024,1042,911
11,Neon Parc,-37.813891999999996,144.96402,2000,2078,2007,2186,2180,2380,2189
12,Outre Gallery,-37.812816,144.962224,744,849,878,910,915,926,842
13,Anna Schwartz Gallery,-37.816047999999995,144.96889,776,1119,1142,1169,1211,1258,935
14,ARC ONE Gallery,-37.81473,144.97308,236,465,493,497,530,532,309
15,Gallery Funaki,-37.811609000000004,144.971399,235,564,598,604,647,657,355
16,Lesley Kehoe Galleries,-37.814921999999996,144.97052,233,642,659,659,714,719,356
17,SpACE@Collins,-37.815775,144.964823,1636,1907,1922,2041,2048,2154,1865
18,Tolarno Galleries,-37.813133,144.97133,258,691,725,723,781,777,391
19,Immigration Museum,-37.81837410000001,144.9592075,528,943,1029,1039,1080,1070,692
20,National Gallery of Victoria,-37.822594200000005,144.96892780000002,2042,1610,1673,1810,1706,1826,1927
21,The Dax Centre,-37.7982687,144.9585509,197,377,364,418,368,373,243
22,Fortyfivedownstairs Inc,-37.816955799999995,144.97088469999997,640,749,754,767,786,877,652
23,Pieces of Eight Gallery,-37.8134924,144.96738380000002,1878,1945,1950,2069,2051,2191,2058
24,Magnet Galleries Melbourne,-37.8165815,144.9523872,984,1632,1690,1700,1876,1864,1220
