Month,Mdate,Time,hourly_counts
April,1,0,976.0
April,1,1,864.0
April,1,2,129.0
April,1,3,230.0
April,1,4,108.0
April,1,5,94.0
April,1,6,139.0
April,1,7,173.0
April,1,8,377.0
April,1,9,793.0
April,1,10,1358.0
April,1,11,2031.0
April,1,12,2592.0
April,1,13,2896.0
April,1,14,3247.0
April,1,15,2896.0
April,1,16,2839.0
April,1,17,2722.0
April,1,18,2393.0
April,1,19,2312.0
April,1,20,2341.0
April,1,21,1673.0
April,1,22,1460.0
April,1,23,785.0
April,2,0,458.0
April,2,1,506.0
April,2,2,282.0
April,2,3,197.0
April,2,4,223.0
April,2,5,80.0
April,2,6,103.0
April,2,7,172.0
April,2,8,344.0
April,2,9,721.0
April,2,10,1419.0
April,2,11,1977.0
April,2,12,2837.0
April,2,13,3301.0
April,2,14,3291.0
April,2,15,2962.0
April,2,16,2709.0
April,2,17,2502.0
April,2,18,2427.0
April,2,19,1674.0
April,2,20,1252.0
April,2,21,831.0
April,2,22,522.0
April,2,23,340.0
April,3,0,142.0
April,3,1,65.0
April,3,2,34.0
April,3,3,44.0
April,3,4,29.0
April,3,5,76.0
April,3,6,173.0
April,3,7,446.0
April,3,8,1019.0
April,3,9,1217.0
April,3,10,1719.0
April,3,11,2301.0
April,3,12,3676.0
April,3,13,3986.0
April,3,14,3676.0
April,3,15,3394.0
April,3,16,3343.0
April,3,17,3411.0
April,3,18,2978.0
April,3,19,2013.0
April,3,20,1668.0
April,3,21,1634.0
April,3,22,795.0
April,3,23,590.0
April,4,0,254.0
April,4,1,78.0
April,4,2,77.0
April,4,3,29.0
April,4,4,36.0
April,4,5,72.0
April,4,6,208.0
April,4,7,579.0
April,4,8,1139.0
April,4,9,1175.0
April,4,10,1445.0
April,4,11,2132.0
April,4,12,3676.0
April,4,13,4213.0
April,4,14,3610.0
April,4,15,3582.0
April,4,16,3220.0
April,4,17,3586.0
April,4,18,3061.0
April,4,19,2026.0
April,4,20,1776.0
April,4,21,1583.0
April,4,22,921.0
April,4,23,660.0
April,5,0,285.0
April,5,1,286.0
April,5,2,89.0
April,5,3,67.0
April,5,4,59.0
April,5,5,65.0
April,5,6,193.0
April,5,7,463.0
