hourly_counts,sensor_id,time,latitude,longitude
925,5,10,-37.81874249,144.96787659999998
1411,5,11,-37.81874249,144.96787659999998
1797,5,12,-37.81874249,144.96787659999998
1990,5,13,-37.81874249,144.96787659999998
2046,5,14,-37.81874249,144.96787659999998
2053,5,15,-37.81874249,144.96787659999998
2055,5,16,-37.81874249,144.96787659999998
2008,5,17,-37.81874249,144.96787659999998
1225,6,10,-37.81911704,144.96558259999998
1538,6,11,-37.81911704,144.96558259999998
1761,6,12,-37.81911704,144.96558259999998
1875,6,13,-37.81911704,144.96558259999998
2101,6,14,-37.81911704,144.96558259999998
2168,6,15,-37.81911704,144.96558259999998
2187,6,16,-37.81911704,144.96558259999998
2104,6,17,-37.81911704,144.96558259999998
480,14,10,-37.82011242,144.962919
566,14,11,-37.82011242,144.962919
611,14,12,-37.82011242,144.962919
668,14,13,-37.82011242,144.962919
758,14,14,-37.82011242,144.962919
797,14,15,-37.82011242,144.962919
804,14,16,-37.82011242,144.962919
803,14,17,-37.82011242,144.962919
1112,26,10,-37.80869542,144.96049399999998
1467,26,11,-37.80869542,144.96049399999998
1751,26,12,-37.80869542,144.96049399999998
1817,26,13,-37.80869542,144.96049399999998
1634,26,14,-37.80869542,144.96049399999998
1321,26,15,-37.80869542,144.96049399999998
863,26,16,-37.80869542,144.96049399999998
646,26,17,-37.80869542,144.96049399999998
1256,24,10,-37.81887962,144.954492
1273,24,11,-37.81887962,144.954492
1320,24,12,-37.81887962,144.954492
1262,24,13,-37.81887962,144.954492
1316,24,14,-37.81887962,144.954492
1351,24,15,-37.81887962,144.954492
1395,24,16,-37.81887962,144.954492
1370,24,17,-37.81887962,144.954492
297,23,10,-37.81909256,144.95452749999998
268,23,11,-37.81909256,144.95452749999998
264,23,12,-37.81909256,144.95452749999998
255,23,13,-37.81909256,144.95452749999998
267,23,14,-37.81909256,144.95452749999998
278,23,15,-37.81909256,144.95452749999998
286,23,16,-37.81909256,144.95452749999998
283,23,17,-37.81909256,144.95452749999998
883,25,10,-37.82401776,144.95604430000003
1096,25,11,-37.82401776,144.95604430000003
1336,25,12,-37.82401776,144.95604430000003
1488,25,13,-37.82401776,144.95604430000003
