Street address,Trading name,Number of seats,Longitude,Latitude,Type
117 Grattan Street,Roy's Cafe,21,144.9656241,-37.80080042,Cafe
550 Lonsdale Street,Donoghue's ,50,144.9560169,-37.8134766,Cafe
97-103 Elizabeth Street,Subway,16,144.9634979,-37.81592157,Cafe
188-202 King Street,La Di Da,80,144.9556244,-37.81551353,Cafe
4 Riverside Quay,Hopscotch,200,144.9633758,-37.82092509,Cafe
194-196 Faraday Street,Yo-Chi,24,144.9680207,-37.79844782,Cafe
744-770 Bourke Street,Origami Sushi & Noodles ,12,144.947217,-37.81817241,Cafe
 Wellington Parade,The Pavilion,86,144.9804557,-37.81296163,Cafe
472-482 Flinders Street,Riverside Deli & Coffee House,12,144.9582721,-37.81974184,Cafe
19-21 Leveson Street,Di Bella Coffee,60,144.9505945,-37.80447359,Cafe
1-3 Cobden Street,Yeonga,96,144.956923,-37.80560474,Cafe
75-77 Hardware Lane,Amigos Hardware Lane,44,144.9608667,-37.8131434,Cafe
32-54 Lonsdale Street,Degani At Urban Workshop,36,144.9707325,-37.8091842,Cafe
77 Story Street,University High School Canteen,100,144.9560633,-37.79746671,Cafe
228-236 Flinders Street,Alice Nevins,10,144.9665517,-37.81724878,Cafe
336 Russell Street,Blu Point Caffe,26,144.9664575,-37.80822377,Cafe
610 Queensberry Street,Elceed Cafe,24,144.9471385,-37.80252643,Cafe
256-268 Flinders Street,Sea Salt,26,144.9656264,-37.81760781,Cafe
578-606 Bourke Street,"The Attic, Artisan Bread And Cafe",6,144.9561073,-37.81571393,Cafe
457-469 Macaulay Road,Taco Bill,12,144.9315233,-37.79484451,Cafe
303-317 Collins Street,Cafe On Collins,17,144.9638231,-37.81662708,Cafe
705-715 Collins Street,Chiara,20,144.9511863,-37.82096812,Cafe
535 Little Lonsdale Street,Jung Gun Restaurant,42,144.9560169,-37.8134766,Cafe
199-207 Spring Street,Father John Cafe,18,144.9720594,-37.81012699,Cafe
22-40 Lincoln Square North,Bouverie Deli,36,144.9627288,-37.8013409,Cafe
357 Victoria Street,Smile Thai Restaurant,4,144.949623,-37.80538734,Cafe
482 Macaulay Road,Jerry's Burgers 'n' Fries,24,144.9299704,-37.79424521,Cafe
100 St Kilda Road,Fatto Bar & Cantina,80,144.9682264,-37.82094188,Cafe
19-21 Lincoln Square South,Kaprica,15,144.9627813,-37.80336259,Cafe
220-226 Collins Street,1932 Cafe & Restaurant,32,144.9661258,-37.81528474,Cafe
367-377 Royal Parade,Oshin Sushi Bar,20,144.9585626,-37.7849288,Cafe
84-86 Elizabeth Street,Hudsons Elizabeth Street,8,144.9641934,-37.81591326,Cafe
516-520 Collins Street,Feast @ 520,20,144.9572629,-37.81780327,Cafe
34 Errol Street,KL Bunga Raya,40,144.9497225,-37.80435713,Cafe
57-67 Little Collins Street,Sakura Kaiten Sushi,34,144.9716953,-37.81309819,Cafe
52-54 Collins Street,Koko Black Chocolate,65,144.9718392,-37.81355886,Cafe
