Barcode,Longitude,Latitude
MPM1647783,144.94519526513153,-37.819690279755314
MPM1629539,144.96724468306363,-37.83060990590586
MPM1647784,144.94785517555567,-37.809896602311646
MPM1647785,144.9488595960221,-37.80966518942013
MPM1647645,144.95615700585253,-37.801968545863815
MPM1647646,144.9555910475334,-37.805948273607896
MPM1647105,144.9697232970336,-37.80728011456029
MPM1620156,144.93656404982573,-37.81277820071696
MPM1647787,144.9529741224953,-37.80827827327172
MPM1647788,144.95336846724513,-37.806669419600226
MPM1647789,144.95356323603568,-37.80680653903779
MPM1647735,144.95715474080518,-37.78886821935832
MPM1629557,144.95196904117554,-37.78677191866955
MPM1629560,144.9542173611571,-37.784938633437584
MPM1629568,144.9548362998409,-37.784449228535685
MPM1647318,144.96358349512153,-37.821592530615284
MPM1647319,144.95904815971736,-37.826461067256666
MPM1647320,144.95763129158112,-37.81930823861796
MPM1647321,144.95925324938588,-37.81883847209113
MPM1647322,144.95077097053644,-37.81140651871275
MPM1647323,144.95056149758278,-37.81159141674251
MPM1647324,144.96643276710884,-37.8228267770271
MPM1647325,144.96675688491538,-37.82282574203234
MPM1647328,144.9592413025957,-37.81652109223487
MPM1647329,144.95986783238246,-37.81627222189719
MPM1647330,144.95889793929848,-37.82709316861435
MPM1647331,144.95872984000115,-37.807380669029776
MPM1620111,144.97733520113482,-37.812140439039105
MPM1620112,144.94167688769855,-37.820342463067945
MPM1647327,144.96108889631242,-37.8094616404191
MPM1647335,144.9671067615599,-37.810305877762495
MPM1629571,144.95077567198226,-37.781744593817976
MPM1630413,144.9671393617676,-37.793546214276574
MPM1647786,144.95300516728926,-37.8084225684166
MPM1620150,144.9732219512994,-37.80856038136452
MPM1620152,144.9753042432515,-37.81055479676447
MPM1620157,144.97428884305322,-37.80928274012333
MPM1620158,144.97824850392402,-37.8094428288153
MPM1620199,144.9754293156957,-37.811112036860926
MPM1620149,144.97290603723948,-37.80880780496721
MPM1620120,144.97857168515938,-37.80917495958077
MPM1620148,144.97574683428343,-37.81012926383267
MPM1647326,144.97061900696326,-37.81099033742911
MPM1647587,144.9652873599724,-37.8103222156004
MPM1647588,144.96631247868132,-37.81001245518512
MPM1647336,144.96676002685186,-37.810203789662964
MPM1647589,144.96880471198793,-37.80855953559227
MPM1629635,144.95481094658047,-37.783342411171006
MPM1647341,144.96915141062823,-37.808676450391204
MPM1647571,144.95929406438736,-37.811596714125095
MPM1647572,144.95903343286713,-37.8116758349979
MPM1630359,144.96189426516412,-37.7897475341734
MPM1630436,144.9554213308296,-37.783838473673
MPM1647575,144.95853092697755,-37.81056540978377
MPM1647576,144.9587805492949,-37.81047387918617
MPM1647595,144.96027573682204,-37.81274533851505
MPM1647596,144.96091119329245,-37.8127908235444
MPM1647597,144.96158439568086,-37.812363913377354
MPM1630235,144.9805342016259,-37.84912458550654
MPM1630320,144.98024002308054,-37.84830494941705
MPM1647591,144.9530664014907,-37.81094585054689
MPM1647592,144.97145153217699,-37.81367945773891
MPM1647593,144.96250723987504,-37.81009999998877
MPM1647598,144.96243626599622,-37.809888590541796
MPM1647024,144.9740585917084,-37.80196648129943
MPM1647025,144.97393329697823,-37.80271946857052
MPM1629566,144.952369901445,-37.78618539080546
MPM1629570,144.95059205196284,-37.78743227513849
MPM1647790,144.9571985560988,-37.78245059453421
MPM1647594,144.95885964474692,-37.805960844981776
MPM1647599,144.95978434461463,-37.811850050464095
MPM1629535,144.95089162579262,-37.781480583307534
MPM1630110,144.9549288785607,-37.78379297562549
MPM1629569,144.95041356766916,-37.78170386814547
MPM1629572,144.9499306962684,-37.781986184516896
MPM1630378,144.95773435393718,-37.791498952132294
MPM1631147,144.96285567204032,-37.78751279672607
MPM1629564,144.95520167164332,-37.784034181290494
MPM1629565,144.9522154320039,-37.78649532379961
MPM1629567,144.95438507004138,-37.78504995816751
MPM1629575,144.9549910499474,-37.78457753989654
MPM1630435,144.952732246691,-37.78610301395252
MPM1620113,144.97558691426718,-37.81111024054537
