Trading name,Longitude,Latitude
Zgonic,144.9092174,-37.82586856
Sambal Kampung,144.9665978,-37.81376503
Vacant,144.9503243,-37.808428
The Tea Room,144.9686338,-37.82281707
Han Guuk Guan Korean Restaurant,144.9679821,-37.8075865
Sarti,144.967574,-37.81012652
ING Direct,144.9589224,-37.81630648
CNC Project Management,144.965095,-37.81763649
Medley Hall,144.967959,-37.80577223
BMO Capital Markets ,144.9693797,-37.81398457
Southern Pacific Health Clubs,144.9573923,-37.81531863
Economic Indicator Services,144.9661707,-37.81699341
ArthroHealth,144.9841619,-37.81229599
McDonalds,144.9583432,-37.82559096
Vacant,144.9700956,-37.82936085
Melbourne Diocesan Historical Commission,144.9776584,-37.80945553
Cafe Mesh,144.9627888,-37.81722704
Bunyip Tours,144.9553465,-37.82072034
Light Rail Consultants,144.9618186,-37.81514598
Bell Potter Securities,144.9707498,-37.81492031
Wah Lien Trading Pty Ltd,144.9331086,-37.79711043
Royal Victorian Eye & Ear Hospital,144.9762558,-37.80899054
Fender Katsalidis,144.9633303,-37.82132851
7-Eleven,144.9621886,-37.81758572
Nemesis International Travel Agency,144.9712561,-37.81268978
Mui Karaoke,144.9643593,-37.81143223
Slade Group,144.9591876,-37.8192157
Vacant,144.9874881,-37.81636985
Stopover Youth Services,144.9726635,-37.80065612
Esuperfund,144.9490176,-37.81792089
Allied Lending,144.9558779,-37.81385045
RMIT Gallery ,144.9645504,-37.80818365
Roadhouse,144.951187,-37.81501701
Cafe Cavallino,144.9664496,-37.80128848
The Melbourne Headshot Company,144.9645574,-37.81567229
Family Relationship Office,144.9620054,-37.81714399
JH Accountants & Advisors ,144.9623658,-37.80901205
New Horizon Migration Consulting,144.9688478,-37.80454935
One Roof,144.9654819,-37.82238874
Vacant,144.9665431,-37.81169959
Vacant,144.9665431,-37.81169959
Pat Foca,144.9572395,-37.80745984
Gilbert & Tobin Lawyers,144.9707498,-37.81492031
Collins Street Dental Aesthetics,144.9728919,-37.81330535
The Source Newsagent,144.9598433,-37.81373064
Smart Guide Pty Ltd,144.9437984,-37.80526578
Signal,144.9651831,-37.81921536
Cyclone Communications,144.9567545,-37.82027594
The Art of Dr. Seuss,144.9645574,-37.81567229
Bridges Financial Services Pty Limited,144.9574732,-37.81753383
United Currency,144.9639969,-37.81152964
C.P. Merchandising Co,144.9390269,-37.81517782
YMCA Docklands ,144.9457644,-37.82205739
Hickory,144.9681345,-37.80763862
Australian Sports Commission,144.9578132,-37.81636534
Phillips & Cohen Associates,144.9628914,-37.8210403
Bela Bistro,144.9487134,-37.80271962
Prism Imaging,144.9473057,-37.79431611
Education Zone Australia,144.9632938,-37.81554941
