Parking type,Parking spaces,Longitude,Latitude
Commercial,722,144.96563480000003,-37.79761356
Commercial,1077,144.9685429,-37.81663851
Commercial,90,144.96817180000002,-37.809942799999995
Commercial,205,144.9628783,-37.81261442
Commercial,500,144.9742765,-37.80855929
Commercial,324,144.97708500000002,-37.80923117
Commercial,55,144.96372380000003,-37.81771479
Commercial,247,144.9622689,-37.82266873
Commercial,583,144.951187,-37.81501701
Commercial,335,144.9559421,-37.81491966
Commercial,1136,144.96040190000002,-37.800433399999996
Commercial,970,144.95592290000002,-37.81942855
Commercial,240,144.97070730000002,-37.82912559
Commercial,327,144.9693797,-37.81398457
Commercial,108,144.952922,-37.81111495
Commercial,262,144.9580529,-37.81075363
Commercial,409,144.96813909999997,-37.81199369
Commercial,265,144.9508705,-37.81949297
Commercial,15,144.9616923,-37.82797346
Commercial,154,144.9823854,-37.82487806
Commercial,450,144.9699175,-37.81784465
Commercial,308,144.9617562,-37.81416355
Commercial,958,144.9550404,-37.79885182
Commercial,436,144.9673119,-37.82201714
Commercial,54,144.95892369999999,-37.81817724
Commercial,650,144.967574,-37.81012652
Commercial,373,144.9563672,-37.81477885
Commercial,249,144.97049619999999,-37.81055707
Commercial,60,144.9856254,-37.81004657
Commercial,18,144.97372009999998,-37.81372701
Commercial,180,144.9613899,-37.82763034
Commercial,315,144.96152990000002,-37.81884626
Commercial,296,144.95860119999998,-37.81946849
Commercial,8,144.9793123,-37.84459479
Commercial,2203,144.9392918,-37.81232328
Commercial,56,144.96853000000002,-37.81098009
Commercial,909,144.9559628,-37.79854141
Commercial,265,144.9624418,-37.81728432
Commercial,50,144.95639690000002,-37.8213142
Commercial,95,144.95594530000002,-37.8093334
Commercial,90,144.96329319999998,-37.81838931
Commercial,1150,144.9657034,-37.810658000000004
Commercial,356,144.95515780000002,-37.80175068
Commercial,236,144.9589392,-37.81595642
Commercial,620,144.9698467,-37.81516811
Commercial,532,144.9732021,-37.81526683
Commercial,212,144.96222969999997,-37.81512975
Commercial,253,144.9603624,-37.82801294
Commercial,150,144.97064540000002,-37.81121462
Commercial,23,144.9685063,-37.81138973
Commercial,39,144.94995169999999,-37.81158684
Commercial,461,144.9630575,-37.81814578
Commercial,102,144.9484636,-37.81023629
Commercial,100,144.95892369999999,-37.81817724
Commercial,344,144.9674304,-37.81584777
Commercial,450,144.9635239,-37.82573508
Commercial,98,144.9599687,-37.81428585
Commercial,143,144.96818100000002,-37.81419714
Commercial,408,144.9671425,-37.80218841
Commercial,290,144.9536422,-37.82253633
Commercial,170,144.9686149,-37.80356075
Commercial,38,144.948386,-37.80337828
Commercial,350,144.9687553,-37.81543178
Commercial,144,144.9419092,-37.81284814
Commercial,154,144.9523393,-37.81815358
Commercial,454,144.9605086,-37.80570036
Commercial,312,144.9626044,-37.81157761
Commercial,60,144.975131,-37.81552595
Commercial,3100,144.95834319999997,-37.82559096
Commercial,581,144.9662623,-37.82066923
Commercial,1150,144.9523782,-37.82539976
Commercial,60,144.9451224,-37.81888389
Commercial,75,144.9660881,-37.81602805
Commercial,64,144.957088,-37.81686865
Commercial,552,144.9726281,-37.81430616
Commercial,205,144.96795690000002,-37.79983347
Commercial,108,144.95503480000002,-37.80080225
Commercial,742,144.9680267,-37.8078604
Commercial,21,144.9847186,-37.81138489
Commercial,69,144.96063669999998,-37.81581152
Commercial,398,144.9701092,-37.81281453
Commercial,1390,144.9586604,-37.82312164
Commercial,38,144.9716757,-37.81587662
Commercial,300,144.9543659,-37.81818484
Commercial,445,144.95675569999997,-37.81550891
Commercial,1275,144.9707353,-37.81595762
Commercial,2500,144.9475776,-37.81656591
Commercial,154,144.9681789,-37.79803089
Commercial,360,144.96081619999998,-37.80741949
Commercial,146,144.95651850000002,-37.82099397
Commercial,140,144.9612468,-37.79739836
Commercial,582,144.957551,-37.818662599999996
Commercial,294,144.95835290000002,-37.813052500000005
Commercial,130,144.9672768,-37.812431200000006
Commercial,109,144.96715680000003,-37.81384227
Commercial,65,144.96268899999998,-37.81601764
Commercial,169,144.96325380000002,-37.81706705
Commercial,73,144.96561409999998,-37.80385341
Commercial,574,144.96404099999998,-37.81805379
Commercial,200,144.96389069999998,-37.80601034
Commercial,146,144.9592377,-37.81024912
Commercial,126,144.9735719,-37.81424291
Commercial,220,144.9707087,-37.81358646
Commercial,200,144.97172619999998,-37.81546152
Commercial,25,144.9725615,-37.81244283
Commercial,548,144.95860459999997,-37.80943603
Commercial,575,144.9633303,-37.82132851
Commercial,300,144.9452253,-37.81314284
Commercial,208,144.9549514,-37.81275166
Commercial,1729,144.982664,-37.84633593
Commercial,2000,144.95019140000002,-37.79382016
Commercial,531,144.96043490000002,-37.81010387
Commercial,460,144.9611344,-37.81200936
Commercial,10,144.9435506,-37.82438863
Commercial,63,144.9520955,-37.8125726
Commercial,70,144.98192360000002,-37.80961024
Commercial,447,144.95813130000002,-37.81163718
Commercial,33,144.9606531,-37.81752882
Commercial,55,144.9549054,-37.81802782
Commercial,238,144.9400496,-37.81332685
Commercial,38,144.9610572,-37.81799198
Commercial,600,144.96602769999998,-37.79970114
Commercial,667,144.96516689999999,-37.82171942
Commercial,427,144.9604697,-37.81352285
Commercial,213,144.96294419999998,-37.81491502
Commercial,736,144.9521769,-37.82233871
Commercial,820,144.95723950000001,-37.80745984
Commercial,718,144.93782990000003,-37.81315031
Commercial,82,144.97550800000002,-37.81793582
Commercial,215,144.9666907,-37.79767459
Commercial,204,144.9591604,-37.82829208
Commercial,688,144.95023899999998,-37.82683832
Commercial,430,144.9492736,-37.81999404
Commercial,200,144.97650980000003,-37.81131183
Commercial,40,144.94396899999998,-37.81927362
Commercial,204,144.95736090000003,-37.81209045
Commercial,48,144.95027180000002,-37.80553547
Commercial,932,144.9719189,-37.81246632
Commercial,387,144.94019939999998,-37.81427742
Commercial,909,144.9803771,-37.82181585
Commercial,330,144.9582721,-37.81974184
Commercial,445,144.9679947,-37.81132789
Commercial,117,144.9566017,-37.81988484
Commercial,113,144.9479753,-37.81925128
Commercial,848,144.9716355,-37.80401886
Commercial,23,144.96694330000003,-37.80829662
Commercial,418,144.9697778,-37.81170307
Commercial,390,144.9658868,-37.8117591
Commercial,300,144.9591876,-37.8192157
Commercial,800,144.9560169,-37.8134766
Commercial,850,144.96863380000002,-37.82281707
Commercial,573,144.9437881,-37.82092615
Commercial,28,144.946356,-37.82488026
Commercial,54,144.96156169999998,-37.82258464
Commercial,200,144.9556127,-37.82790415
Commercial,75,144.9408371,-37.81401983
Commercial,88,144.97704280000002,-37.83774553
Commercial,220,144.9803782,-37.84685298
Commercial,450,144.98515830000002,-37.81142373
Commercial,50,144.941564,-37.81376243
Commercial,350,144.9822638,-37.8094576
Commercial,1696,144.9523782,-37.82539976
Commercial,126,144.9707325,-37.8091842
Commercial,300,144.9502584,-37.81864992
Commercial,722,144.9630189,-37.81073331
