Longitude,Latitude,Household
144.97131519999996,-37.81460613,2
144.958212,-37.81022045,356
144.9603936,-37.81210735,30
144.96209069999998,-37.80728963,586
144.9577233,-37.81948316,2
144.96321,-37.80953222,96
144.9558446,-37.81824465,2
144.9681345,-37.80763862,2
144.95967480000002,-37.81181165,20
144.97101469999998,-37.80814522,132
144.9734221,-37.8148556,54
144.9727209,-37.81546181,112
144.968886,-37.80965317,444
144.95795139999998,-37.8176551,38
144.9603554,-37.81313072,14
144.9678391,-37.80887346,2
144.9692478,-37.81598754,58
144.9603254,-37.81244232,428
144.9675389,-37.81271995,2
144.9664575,-37.80822377,192
144.96051210000002,-37.81127007,4
144.97114960000002,-37.80996122,200
144.9638159,-37.81086511,12
144.9600295,-37.81141143,2
144.9626499,-37.81376189,8
144.9669365,-37.81150382,4
144.9652504,-37.81199559,2
144.96786,-37.8074266,6
144.9552803,-37.81472953,2
144.97062,-37.81024149,2
144.9725123,-37.81506474,48
144.9599613,-37.81097638,298
144.9535531,-37.8153588,1400
144.96285490000002,-37.81789895,22
144.96843280000002,-37.81123016,2
144.96064619999999,-37.80667105,118
144.9581019,-37.81209868,514
144.96207280000002,-37.80934807,24
144.9520546,-37.81370497,410
144.9588604,-37.80915498,6
144.9681131,-37.80903172,8
144.9657034,-37.810658000000004,270
144.9670858,-37.80932088,2
144.9614444,-37.81451554,12
144.96103480000002,-37.81403196,2
144.97254009999997,-37.81204866,18
144.9558379,-37.82001952,182
144.97101469999998,-37.80814522,330
144.9693812,-37.81330421,2
144.9657774,-37.81507697,122
144.9697778,-37.81170307,302
144.9571621,-37.81071591,276
144.9566012,-37.81015871,640
144.95651850000002,-37.82099397,392
144.9521674,-37.81395176,296
144.9684463,-37.80913993,354
144.9616488,-37.81540373,2
144.9657243,-37.81609962,2
144.9685075,-37.81631794,8
144.9690842,-37.81328848,2
144.96222619999998,-37.81378128,2
144.96560300000002,-37.81213633,6
144.9577253,-37.81074489,116
144.9608283,-37.81778076,74
144.9619926,-37.81358648,2
144.9716757,-37.81587662,2
144.9618186,-37.81514598,24
144.971363,-37.81092017,8
144.96168669999997,-37.81789622,106
144.95904430000002,-37.81456798,14
144.97143469999997,-37.81471553,2
144.96719819999998,-37.81147829,2
144.9619919,-37.81374372,2
144.9707553,-37.81034485,2
144.9642312,-37.81597639,18
144.9731836,-37.81260039,86
144.9659624,-37.81649503,134
144.9714138,-37.81033978,38
144.95344,-37.81318693,2
144.9604206,-37.81864585,222
144.9597749,-37.80809005,86
144.9599969,-37.80914342,40
144.9557665,-37.82061096,20
144.9688281,-37.81614299,2
144.9664575,-37.80822377,88
144.9664575,-37.80822377,518
144.9632938,-37.81554941,2
144.96081619999998,-37.80741949,150
144.95823090000002,-37.81492637,70
144.9671146,-37.80938448,2
144.962331,-37.80927192,8
144.9601607,-37.81132809,2
144.9664899,-37.81603393,2
144.9535531,-37.8153588,1280
144.9681732,-37.80752222,2
144.9733552,-37.81383756,34
144.968045,-37.80933443,2
144.96064230000002,-37.81669009,24
144.97043259999998,-37.80825164,262
144.9702028,-37.81592613,24
144.96925430000002,-37.81302823,180
144.9725109,-37.81296884,2
144.9638971,-37.81719967,38
144.9679947,-37.81132789,96
144.9675753,-37.80812962,442
144.96222969999997,-37.81512975,184
144.95350359999998,-37.81332724,2
144.9600699,-37.81028748,352
144.9582721,-37.81974184,4
144.958725,-37.80837571,22
144.9638507,-37.81763918,12
144.97080780000002,-37.81046087,2
144.96797959999998,-37.80935301,2
144.96758069999998,-37.81390779,32
144.9691679,-37.81329303,2
144.96433159999998,-37.81741878,2
144.9678599,-37.81376794,80
144.9552051,-37.81596556,2
144.9617496,-37.81327298,6
144.97410190000002,-37.81454561,222
144.96174109999998,-37.81560573,82
144.95999650000002,-37.81679183,438
144.9611687,-37.81058781,2
144.95345890000002,-37.81323254,2
144.968991,-37.813064600000004,8
144.95736159999998,-37.81047959,40
144.9610172,-37.81348655,2
144.9542801,-37.81384802,2
144.96630280000002,-37.81685974,34
144.9613635,-37.81579532,26
144.9706491,-37.81030552,2
144.9667375,-37.81291317,4
144.9626049,-37.81366344,12
144.9627445,-37.81786011,14
144.96153059999997,-37.81556194,62
144.96064030000002,-37.80955764,62
144.9614913,-37.80985709,2
144.964608,-37.81805666,12
144.9611573,-37.80894909,988
144.9623532,-37.81392649,16
144.960166,-37.80845845,142
144.96916530000001,-37.81279907,208
144.9703367,-37.81637277,54
144.9602398,-37.81112415,2
144.9626101,-37.80894099,574
144.95890780000002,-37.80925755,12
144.9558649,-37.82113126,378
144.958272,-37.80838541,2
144.9595755,-37.80904835,1628
144.9678725,-37.80894616,14
144.9542466,-37.8125542,2
144.96145149999998,-37.80977165,2
144.9671297,-37.80906373,68
144.9704304,-37.81629562,2
144.9620604,-37.80808349,30
144.96047109999998,-37.80908065,2
144.9619919,-37.81374372,10
