Trading name,Industry (ANZSIC4) description,Longitude,Latitude
Copy Place,Printing,144.9617486,-37.81492841
Print on Demand,Printing,144.96063669999998,-37.81581152
Kwik Kopy ,Printing,144.9583865,-37.81527349
Ancyn Screen Printers,Printing,144.9351493,-37.79799287
Eckersley's,Stationery Goods Retailing,144.9626708,-37.80779355
Office Choice Limited,Stationery Goods Retailing,144.9662961,-37.83070462
United Office Choice,Stationery Goods Retailing,144.9632938,-37.81554941
Snap Printing Carlton,Printing,144.9585628,-37.803174600000006
LEP Colour Printers,Printing,144.9210747,-37.827338399999995
Auscopy,Printing,144.9624215,-37.80924597
Typo,Stationery Goods Retailing,144.951187,-37.81501701
Invicium,Printing,144.9303643,-37.79956857
Tafts The Pen People Pty Ltd,Stationery Goods Retailing,144.96534069999998,-37.81620631
Minuteman Press,Printing,144.9607219,-37.81176227
Ricoh Australia Pty Ltd,Printing,144.96281159999998,-37.81581721
Image Science,Printing,144.953513,-37.80476453
Mail Boxes Etc ,Printing,144.9599687,-37.81428585
Kwik Kopy Printing Melbourne City South ,Printing,144.9715256,-37.81490894
Minuteman Press,Printing,144.95159089999999,-37.81287878
Flash Printing,Printing,144.9253775,-37.82304058
Typo ,Stationery Goods Retailing,144.9523782,-37.82539976
Pagemasters,Printing,144.9799791,-37.80919457
Sunlight Station ,Printing,144.9661325,-37.8011023
Liquid Ink,Printing,144.9098977,-37.82476037
Bookbinders Design,Stationery Goods Retailing,144.96294419999998,-37.81491502
Kikki K Pty Ltd ,Stationery Goods Retailing,144.9662623,-37.82066923
Alpha Lewis Signs,Printing,144.944183,-37.80086172
Mercedes Waratah,Printing,144.9254324,-37.82169215
Typo ,Stationery Goods Retailing,144.96677,-37.79986755
MDM ,Printing,144.96795690000002,-37.79983347
Best Partners ,Printing,144.9602243,-37.81467989
Grad Store/Uni Store,Stationery Goods Retailing,144.9612468,-37.79739836
Typo,Stationery Goods Retailing,144.9630189,-37.81073331
Rainbow Display Systems,Printing,144.9360968,-37.82534657
Classic Colour Copying Pty Ltd,Printing,144.95971369999998,-37.80545058
SNAP Printing,Printing,144.9559235,-37.81773521
Eckersley's,Stationery Goods Retailing,144.96133480000003,-37.80829348
Invicium,Printing,144.9303643,-37.79956857
Summerland Printing,Printing,144.9771931,-37.83854242
Kwik Kopy Printing,Printing,144.9699756,-37.80941489
The Print & Copy Hub,Printing,144.9658102,-37.81472467
Digital House,Printing,144.9091911,-37.82469967
Dinkums Print and Design,Printing,144.9633054,-37.8061315
Big Shot Digital,Printing,144.949724,-37.79601282
Snap Printing,Printing,144.9701585,-37.81573536
Worldwide Online Printing,Printing,144.95666880000002,-37.81651427
Snap Printing ,Printing,144.94414469999998,-37.82029136
Kikki K,Stationery Goods Retailing,144.9630189,-37.81073331
Omnigraphics Australia Pty Limited,Printing,144.9082014,-37.82657693
Officeworks,Stationery Goods Retailing,144.9657034,-37.810658000000004
MBE Carlton,Printing,144.96466809999998,-37.80336952
Finsbury Green Pty Ltd,Printing,144.9712561,-37.81268978
Snap,Printing,144.96077,-37.814189
Finsbury Green,Printing,144.9362954,-37.82366685
505 Printworks,Printing,144.95747319999998,-37.81753383
Officeworks ,Stationery Goods Retailing,144.96018859999998,-37.81547268
The Pen Place,Stationery Goods Retailing,144.96028909999998,-37.81485954
Snap Printing,Printing,144.96667380000002,-37.80901615
Condor Printing Pty Ltd,Printing,144.94535280000002,-37.8068965
Frontline Merchandising Group,Printing,144.9465687,-37.80295518
Doculink ,Printing,144.9362954,-37.82366685
Officeworks Superstores,Stationery Goods Retailing,144.9634544,-37.81573396
Minuteman Press North Melbourne,Printing,144.9408885,-37.80028975
Pen City,Stationery Goods Retailing,144.96251130000002,-37.81346116
Kwik Kopy,Printing,144.9591221,-37.81858017
Wellcom,Printing,144.9354196,-37.82313528
Evan Evans,Printing,144.94401000000002,-37.80619265
Senior Arts Supplies,Stationery Goods Retailing,144.9655862,-37.81729631
Advertising City,Printing,144.9652665,-37.80669149
Snap West Melbourne,Printing,144.9303643,-37.79956857
Highroad Design Web Print,Printing,144.9479753,-37.81925128
Creffield Digital Print,Printing,144.9509754,-37.80881623
Melbourne Printing & Flyer Distribution,Printing,144.9742698,-37.79967107
Doculink,Printing,144.9073336,-37.82542123
Sega Pac,Printing,144.94406469999998,-37.8015694
Radius Print,Printing,144.9098977,-37.82476037
Card and Caboodle,Stationery Goods Retailing,144.9645574,-37.81567229
King Ink Printing & Copying ,Printing,144.9572629,-37.81780327
Kwik Kopy Printing Centre,Printing,144.95832240000001,-37.80240853
Smiggle,Stationery Goods Retailing,144.9630189,-37.81073331
Printcity.,Printing,144.97074980000002,-37.81492031
Minuteman Press,Printing,144.9660268,-37.82271834
Elgin Printing ,Printing,144.9685851,-37.79681948
Smiggle,Stationery Goods Retailing,144.9523782,-37.82539976
Melbourne Artists Supplies Pty Limited,Stationery Goods Retailing,144.96251569999998,-37.80921752
Kikki K,Stationery Goods Retailing,144.9638386,-37.81245199
Officeworks,Stationery Goods Retailing,144.9632938,-37.81554941
Pressprint Solutions,Printing,144.9101158,-37.8237898
TMP Digital Printing Services ,Printing,144.9419523,-37.80253542
Grafico,Printing,144.9369852,-37.79613994
Finclear Execution,Printing,144.9563105,-37.81323022
Smiggle,Stationery Goods Retailing,144.951187,-37.81501701
