Trading name,Latitude,Longitude
The Beaufort,-37.79652005,144.9704262
Carlton Yacht Club Bar,-37.79998572,144.9673764
Lagers On Lygon,-37.80530329,144.9665747
Queensberry Hotel,-37.80475348,144.9629068
Astor Hotel,-37.79694555,144.9678126
Players On Lygon,-37.80245924,144.96705219999998
The Last Jar,-37.80389369,144.95893869999998
Ding Dong Lounge,-37.81175137,144.9694031
Welcome Stranger,-37.81207094,144.9692645
1806,-37.81165123,144.9700684
Fashion Lounge,-37.81567009,144.9705132
Whisky and Alement,-37.81011116,144.9671591
Eau-De-Vie ,-37.81587662,144.9716757
Meyers Place Bar,-37.81207814,144.97235049999998
FM Karaoke Bar,-37.81235798,144.9687387
La Chinesca,-37.8143446,144.9713489
Singlo Bar,-37.8109513,144.9724291
Ra,-37.81393777,144.9705847
Bambu Bar,-37.81560645,144.9708344
Spice Market,-37.81516811,144.9698467
Bennetts Lane Jazz Club,-37.80889245,144.967558
Jankara Japanese Bar,-37.80951668,144.966904
Mrs Parma's ,-37.81074304,144.97199030000002
Spleen Central,-37.81193572,144.9720472
Club Asuka,-37.81212537,144.9715659
European Bier Cafe,-37.81285806,144.97119990000002
Bar Lourinha,-37.81278444,144.9724927
Lupino,-37.81279876,144.97239319999997
The Mercant Cross Hotel / Fancy Hanks Bar-B-Que,-37.80792152,144.9583711
Horse Bazaar,-37.81190077,144.9602499
Young & Jacksons,-37.817356,144.967023
The Carlton Hotel,-37.81320485,144.9676452
The Charles Dickens Tavern,-37.81567229,144.9645574
Randy Dragon,-37.81763918,144.9638507
Penny Blue,-37.81292437,144.96312759999998
Section 8 Bar,-37.81176167,144.9653899
Father's Office,-37.810658000000004,144.9657034
Escape City,-37.81156167,144.9672365
Sister Bellas,-37.81135,144.9638158
Transit Cocktail Lounge,-37.81784465,144.9699175
Hell's Kitchen,-37.8166033,144.9655966
Niagara Hotel,-37.81283306,144.96119290000001
New Guernica,-37.81488174,144.9640121
Cookie,-37.81199559,144.9652504
Chuckle Park,-37.81488174,144.9640121
Nieuw Amsterdam,-37.81213605,144.9606805
Duke of Kent Hotel,-37.81081439,144.9605086
Bull And Bear Tavern,-37.81782313,144.9630313
Word,-37.81328585,144.960731
The Long Room,-37.81450301,144.9678476
Melbourne Central Lion Hotel,-37.81073331,144.9630189
Hush Bar @ Melbourne Central,-37.81073331,144.9630189
Idarts Hive,-37.810658000000004,144.9657034
Decca Bar,-37.81637876,144.9609695
CQ Bar,-37.81581152,144.96063669999998
Waterside Hotel,-37.820166,144.95715049999998
Menzies Tavern Hotel,-37.81730302,144.959442
The Sherlock Holmes Inn,-37.81746814,144.9608681
The Irish Times,-37.8162542,144.9605354
El Coco,-37.81703156,144.95640780000002
Chaise Lounge,-37.81614776,144.9608476
The Turf Bar & Restaurant,-37.81549904,144.9605409
The Bottom End,-37.81782672,144.95560600000002
Bar Humbug,-37.81538904,144.9549691
Goldfingers Mens Club,-37.814067,144.9551409
Deja Vu Bar And Lounge,-37.81311232,144.9563971
Market Lane Bar,-37.81853877,144.9581185
Ms Collins,-37.81752882,144.9606531
Mail Exchange Hotel,-37.81663038,144.95359019999998
Bluestone Wine Lounge,-37.81853877,144.9581185
The Tippier & Co,-37.81638513,144.9882532
Lost and Found,-37.79404162,144.9286331
The Crimean,-37.80395618,144.95596719999998
Musicbox  - Karaoke Bar,-37.80538132,144.9584784
The Leveson,-37.80370014,144.9514591
Red Monkey Tea House,-37.80499941,144.9504455
Limerick Castle Hotel & Restaurant,-37.80114341,144.9496139
Court House Hotel,-37.80287733,144.94995569999998
P J O'Briens Irish Pub & Side Bar,-37.82066923,144.9662623
Aria Bar & Lounge,-37.82066923,144.9662623
Mezz Bar,-37.82094188,144.9682264
Witches In Britches Pty Ltd,-37.80890193,144.952636
Royal Standard Hotel,-37.80781408,144.95425369999998
