sensor_id,latitude,longitude
1,-37.8134944,144.9651532
2,-37.81380667,144.9651672
4,-37.81487988,144.9660878
5,-37.81874249,144.9678766
6,-37.81911704,144.9655826
8,-37.82293543,144.9471751
9,-37.81982992,144.9510256
10,-37.81876473,144.9471055
11,-37.81564989,144.939707
12,-37.81457987,144.942924
14,-37.82011242,144.962919
17,-37.81362542,144.9732359
18,-37.81344861,144.9730535
19,-37.81237202,144.9655067
20,-37.81172913,144.9682466
21,-37.81244703,144.9677876
22,-37.81786445,144.9650682
23,-37.81909256,144.9545275
24,-37.81887962,144.954492
25,-37.82401776,144.9560443
26,-37.80869542,144.960494
27,-37.80606888,144.9564469
28,-37.82129924,144.9687931
30,-37.81121849,144.9665681
31,-37.8016968,144.9665891
33,-37.81483252,144.9745406
34,-37.81537985,144.9741505
35,-37.82017828,144.9650888
36,-37.81652527,144.9612106
37,-37.80310271,144.9667145
39,-37.81379749,144.9699575
40,-37.80999341,144.9722759
42,-37.80008565,144.9638641
43,-37.79844525,144.9641178
44,-37.79690473,144.9644038
46,-37.80240719,144.9615673
47,-37.81160331,144.9622008
48,-37.80631581,144.958667
49,-37.80730067,144.9595606
50,-37.79808191,144.9672101
51,-37.80841814,144.9590632
52,-37.81252157,144.9619401
53,-37.8156419,144.965499
54,-37.804024,144.963084
56,-37.81234775,144.9615331
57,-37.8176735,144.950256
58,-37.81686074,144.9535808
59,-37.80825648,144.9630486
101,-37.817771,144.957951
102,-37.81447,144.96197
13,-37.812397,144.956526
103,-37.810979,144.958897
104,-37.8155,144.97005
105,-37.808234,144.968757
106,-37.81319,144.95174
107,-37.81563,144.95823
108,-37.82038,144.95746
109,-37.81934,144.96075
110,-37.80892,144.96634
