hourly_counts,sensor_id,time,latitude,longitude
900,5,10,-37.81874249,144.96787659999998
1122,5,11,-37.81874249,144.96787659999998
1472,5,12,-37.81874249,144.96787659999998
1486,5,13,-37.81874249,144.96787659999998
1445,5,14,-37.81874249,144.96787659999998
1572,5,15,-37.81874249,144.96787659999998
1746,5,16,-37.81874249,144.96787659999998
2423,5,17,-37.81874249,144.96787659999998
1297,6,10,-37.81911704,144.96558259999998
1450,6,11,-37.81911704,144.96558259999998
2180,6,12,-37.81911704,144.96558259999998
2249,6,13,-37.81911704,144.96558259999998
1982,6,14,-37.81911704,144.96558259999998
2235,6,15,-37.81911704,144.96558259999998
2959,6,16,-37.81911704,144.96558259999998
4565,6,17,-37.81911704,144.96558259999998
466,14,10,-37.82011242,144.962919
508,14,11,-37.82011242,144.962919
671,14,12,-37.82011242,144.962919
676,14,13,-37.82011242,144.962919
631,14,14,-37.82011242,144.962919
740,14,15,-37.82011242,144.962919
1022,14,16,-37.82011242,144.962919
1707,14,17,-37.82011242,144.962919
823,26,10,-37.80869542,144.96049399999998
1015,26,11,-37.80869542,144.96049399999998
1508,26,12,-37.80869542,144.96049399999998
1459,26,13,-37.80869542,144.96049399999998
963,26,14,-37.80869542,144.96049399999998
790,26,15,-37.80869542,144.96049399999998
741,26,16,-37.80869542,144.96049399999998
808,26,17,-37.80869542,144.96049399999998
1774,24,10,-37.81887962,144.954492
1723,24,11,-37.81887962,144.954492
2554,24,12,-37.81887962,144.954492
2508,24,13,-37.81887962,144.954492
2034,24,14,-37.81887962,144.954492
2414,24,15,-37.81887962,144.954492
3616,24,16,-37.81887962,144.954492
4622,24,17,-37.81887962,144.954492
567,23,10,-37.81909256,144.95452749999998
575,23,11,-37.81909256,144.95452749999998
1103,23,12,-37.81909256,144.95452749999998
1030,23,13,-37.81909256,144.95452749999998
620,23,14,-37.81909256,144.95452749999998
583,23,15,-37.81909256,144.95452749999998
786,23,16,-37.81909256,144.95452749999998
1180,23,17,-37.81909256,144.95452749999998
615,25,10,-37.82401776,144.95604430000003
735,25,11,-37.82401776,144.95604430000003
1045,25,12,-37.82401776,144.95604430000003
1093,25,13,-37.82401776,144.95604430000003
1051,25,14,-37.82401776,144.95604430000003
1125,25,15,-37.82401776,144.95604430000003
1276,25,16,-37.82401776,144.95604430000003
1604,25,17,-37.82401776,144.95604430000003
506,21,10,-37.81244703,144.96778759999998
712,21,11,-37.81244703,144.96778759999998
1402,21,12,-37.81244703,144.96778759999998
1406,21,13,-37.81244703,144.96778759999998
1053,21,14,-37.81244703,144.96778759999998
984,21,15,-37.81244703,144.96778759999998
1033,21,16,-37.81244703,144.96778759999998
1248,21,17,-37.81244703,144.96778759999998
260,20,10,-37.81172913,144.96824660000001
406,20,11,-37.81172913,144.96824660000001
756,20,12,-37.81172913,144.96824660000001
746,20,13,-37.81172913,144.96824660000001
515,20,14,-37.81172913,144.96824660000001
475,20,15,-37.81172913,144.96824660000001
449,20,16,-37.81172913,144.96824660000001
596,20,17,-37.81172913,144.96824660000001
370,19,10,-37.81237202,144.9655067
626,19,11,-37.81237202,144.9655067
1169,19,12,-37.81237202,144.9655067
1194,19,13,-37.81237202,144.9655067
1015,19,14,-37.81237202,144.9655067
960,19,15,-37.81237202,144.9655067
956,19,16,-37.81237202,144.9655067
1115,19,17,-37.81237202,144.9655067
1769,22,10,-37.81786445,144.9650682
2065,22,11,-37.81786445,144.9650682
2823,22,12,-37.81786445,144.9650682
3053,22,13,-37.81786445,144.9650682
2683,22,14,-37.81786445,144.9650682
2832,22,15,-37.81786445,144.9650682
3336,22,16,-37.81786445,144.9650682
4152,22,17,-37.81786445,144.9650682
177,27,10,-37.80606888,144.9564469
203,27,11,-37.80606888,144.9564469
261,27,12,-37.80606888,144.9564469
256,27,13,-37.80606888,144.9564469
207,27,14,-37.80606888,144.9564469
198,27,15,-37.80606888,144.9564469
201,27,16,-37.80606888,144.9564469
246,27,17,-37.80606888,144.9564469
1064,28,10,-37.82129924,144.9687931
1327,28,11,-37.82129924,144.9687931
1793,28,12,-37.82129924,144.9687931
1711,28,13,-37.82129924,144.9687931
1646,28,14,-37.82129924,144.9687931
1865,28,15,-37.82129924,144.9687931
1913,28,16,-37.82129924,144.9687931
2641,28,17,-37.82129924,144.9687931
164,31,10,-37.8016968,144.9665891
204,31,11,-37.8016968,144.9665891
316,31,12,-37.8016968,144.9665891
377,31,13,-37.8016968,144.9665891
309,31,14,-37.8016968,144.9665891
277,31,15,-37.8016968,144.9665891
285,31,16,-37.8016968,144.9665891
356,31,17,-37.8016968,144.9665891
389,30,10,-37.81121849,144.9665681
548,30,11,-37.81121849,144.9665681
1008,30,12,-37.81121849,144.9665681
986,30,13,-37.81121849,144.9665681
728,30,14,-37.81121849,144.9665681
699,30,15,-37.81121849,144.9665681
733,30,16,-37.81121849,144.9665681
947,30,17,-37.81121849,144.9665681
230,33,10,-37.81483252,144.97454059999998
218,33,11,-37.81483252,144.97454059999998
345,33,12,-37.81483252,144.97454059999998
349,33,13,-37.81483252,144.97454059999998
248,33,14,-37.81483252,144.97454059999998
250,33,15,-37.81483252,144.97454059999998
389,33,16,-37.81483252,144.97454059999998
522,33,17,-37.81483252,144.97454059999998
183,34,10,-37.81537985,144.97415049999998
170,34,11,-37.81537985,144.97415049999998
279,34,12,-37.81537985,144.97415049999998
306,34,13,-37.81537985,144.97415049999998
212,34,14,-37.81537985,144.97415049999998
198,34,15,-37.81537985,144.97415049999998
229,34,16,-37.81537985,144.97415049999998
331,34,17,-37.81537985,144.97415049999998
465,39,10,-37.81379749,144.9699575
456,39,11,-37.81379749,144.9699575
1091,39,12,-37.81379749,144.9699575
1046,39,13,-37.81379749,144.9699575
523,39,14,-37.81379749,144.9699575
395,39,15,-37.81379749,144.9699575
465,39,16,-37.81379749,144.9699575
614,39,17,-37.81379749,144.9699575
145,37,10,-37.80310271,144.9667145
187,37,11,-37.80310271,144.9667145
314,37,12,-37.80310271,144.9667145
321,37,13,-37.80310271,144.9667145
228,37,14,-37.80310271,144.9667145
201,37,15,-37.80310271,144.9667145
181,37,16,-37.80310271,144.9667145
227,37,17,-37.80310271,144.9667145
510,40,10,-37.80999341,144.9722759
522,40,11,-37.80999341,144.9722759
861,40,12,-37.80999341,144.9722759
817,40,13,-37.80999341,144.9722759
534,40,14,-37.80999341,144.9722759
474,40,15,-37.80999341,144.9722759
462,40,16,-37.80999341,144.9722759
582,40,17,-37.80999341,144.9722759
499,36,10,-37.81652527,144.9612106
492,36,11,-37.81652527,144.9612106
982,36,12,-37.81652527,144.9612106
922,36,13,-37.81652527,144.9612106
634,36,14,-37.81652527,144.9612106
533,36,15,-37.81652527,144.9612106
579,36,16,-37.81652527,144.9612106
764,36,17,-37.81652527,144.9612106
693,29,10,-37.81965808,144.9686345
863,29,11,-37.81965808,144.9686345
1127,29,12,-37.81965808,144.9686345
1212,29,13,-37.81965808,144.9686345
1075,29,14,-37.81965808,144.9686345
1127,29,15,-37.81965808,144.9686345
1189,29,16,-37.81965808,144.9686345
1655,29,17,-37.81965808,144.9686345
479,42,10,-37.80008565,144.9638641
592,42,11,-37.80008565,144.9638641
678,42,12,-37.80008565,144.9638641
747,42,13,-37.80008565,144.9638641
572,42,14,-37.80008565,144.9638641
578,42,15,-37.80008565,144.9638641
541,42,16,-37.80008565,144.9638641
614,42,17,-37.80008565,144.9638641
293,43,10,-37.79844525,144.9641178
337,43,11,-37.79844525,144.9641178
457,43,12,-37.79844525,144.9641178
508,43,13,-37.79844525,144.9641178
406,43,14,-37.79844525,144.9641178
392,43,15,-37.79844525,144.9641178
376,43,16,-37.79844525,144.9641178
389,43,17,-37.79844525,144.9641178
137,44,10,-37.79690473,144.9644038
153,44,11,-37.79690473,144.9644038
179,44,12,-37.79690473,144.9644038
189,44,13,-37.79690473,144.9644038
152,44,14,-37.79690473,144.9644038
168,44,15,-37.79690473,144.9644038
183,44,16,-37.79690473,144.9644038
231,44,17,-37.79690473,144.9644038
1561,35,10,-37.82017828,144.9650888
1845,35,11,-37.82017828,144.9650888
3154,35,12,-37.82017828,144.9650888
3153,35,13,-37.82017828,144.9650888
2395,35,14,-37.82017828,144.9650888
2418,35,15,-37.82017828,144.9650888
2855,35,16,-37.82017828,144.9650888
4274,35,17,-37.82017828,144.9650888
160,46,10,-37.80240719,144.9615673
183,46,11,-37.80240719,144.9615673
329,46,12,-37.80240719,144.9615673
344,46,13,-37.80240719,144.9615673
201,46,14,-37.80240719,144.9615673
179,46,15,-37.80240719,144.9615673
187,46,16,-37.80240719,144.9615673
229,46,17,-37.80240719,144.9615673
1107,47,10,-37.81160331,144.9622008
1411,47,11,-37.81160331,144.9622008
2158,47,12,-37.81160331,144.9622008
2305,47,13,-37.81160331,144.9622008
1878,47,14,-37.81160331,144.9622008
1829,47,15,-37.81160331,144.9622008
2007,47,16,-37.81160331,144.9622008
2417,47,17,-37.81160331,144.9622008
343,48,10,-37.80631581,144.958667
422,48,11,-37.80631581,144.958667
542,48,12,-37.80631581,144.958667
529,48,13,-37.80631581,144.958667
426,48,14,-37.80631581,144.958667
383,48,15,-37.80631581,144.958667
350,48,16,-37.80631581,144.958667
453,48,17,-37.80631581,144.958667
234,49,10,-37.80730067,144.9595606
296,49,11,-37.80730067,144.9595606
441,49,12,-37.80730067,144.9595606
425,49,13,-37.80730067,144.9595606
271,49,14,-37.80730067,144.9595606
204,49,15,-37.80730067,144.9595606
180,49,16,-37.80730067,144.9595606
185,49,17,-37.80730067,144.9595606
279,50,10,-37.79808191,144.9672101
351,50,11,-37.79808191,144.9672101
468,50,12,-37.79808191,144.9672101
492,50,13,-37.79808191,144.9672101
438,50,14,-37.79808191,144.9672101
412,50,15,-37.79808191,144.9672101
403,50,16,-37.79808191,144.9672101
503,50,17,-37.79808191,144.9672101
175,51,10,-37.80841814,144.9590632
204,51,11,-37.80841814,144.9590632
287,51,12,-37.80841814,144.9590632
288,51,13,-37.80841814,144.9590632
224,51,14,-37.80841814,144.9590632
193,51,15,-37.80841814,144.9590632
189,51,16,-37.80841814,144.9590632
213,51,17,-37.80841814,144.9590632
467,52,10,-37.81252157,144.9619401
557,52,11,-37.81252157,144.9619401
925,52,12,-37.81252157,144.9619401
1014,52,13,-37.81252157,144.9619401
804,52,14,-37.81252157,144.9619401
707,52,15,-37.81252157,144.9619401
716,52,16,-37.81252157,144.9619401
878,52,17,-37.81252157,144.9619401
185,54,10,-37.804024,144.963084
222,54,11,-37.804024,144.963084
281,54,12,-37.804024,144.963084
319,54,13,-37.804024,144.963084
270,54,14,-37.804024,144.963084
288,54,15,-37.804024,144.963084
299,54,16,-37.804024,144.963084
424,54,17,-37.804024,144.963084
390,56,10,-37.81234775,144.9615331
458,56,11,-37.81234775,144.9615331
732,56,12,-37.81234775,144.9615331
822,56,13,-37.81234775,144.9615331
591,56,14,-37.81234775,144.9615331
541,56,15,-37.81234775,144.9615331
594,56,16,-37.81234775,144.9615331
780,56,17,-37.81234775,144.9615331
1115,57,10,-37.8176735,144.950256
987,57,11,-37.8176735,144.950256
2237,57,12,-37.8176735,144.950256
1874,57,13,-37.8176735,144.950256
1117,57,14,-37.8176735,144.950256
1285,57,15,-37.8176735,144.950256
2474,57,16,-37.8176735,144.950256
3498,57,17,-37.8176735,144.950256
1096,58,10,-37.81686074,144.95358080000003
1152,58,11,-37.81686074,144.95358080000003
1655,58,12,-37.81686074,144.95358080000003
1670,58,13,-37.81686074,144.95358080000003
1223,58,14,-37.81686074,144.95358080000003
1323,58,15,-37.81686074,144.95358080000003
1870,58,16,-37.81686074,144.95358080000003
2422,58,17,-37.81686074,144.95358080000003
783,17,10,-37.81362542,144.97323590000002
780,17,11,-37.81362542,144.97323590000002
1602,17,12,-37.81362542,144.97323590000002
1546,17,13,-37.81362542,144.97323590000002
876,17,14,-37.81362542,144.97323590000002
716,17,15,-37.81362542,144.97323590000002
775,17,16,-37.81362542,144.97323590000002
1221,17,17,-37.81362542,144.97323590000002
510,18,10,-37.81344861,144.9730535
444,18,11,-37.81344861,144.9730535
632,18,12,-37.81344861,144.9730535
653,18,13,-37.81344861,144.9730535
509,18,14,-37.81344861,144.9730535
548,18,15,-37.81344861,144.9730535
976,18,16,-37.81344861,144.9730535
1573,18,17,-37.81344861,144.9730535
1139,53,10,-37.8156419,144.965499
1408,53,11,-37.8156419,144.965499
2106,53,12,-37.8156419,144.965499
2174,53,13,-37.8156419,144.965499
1691,53,14,-37.8156419,144.965499
1488,53,15,-37.8156419,144.965499
1422,53,16,-37.8156419,144.965499
1500,53,17,-37.8156419,144.965499
1257,2,10,-37.81380667,144.96516719999997
1798,2,11,-37.81380667,144.96516719999997
3001,2,12,-37.81380667,144.96516719999997
3227,2,13,-37.81380667,144.96516719999997
2471,2,14,-37.81380667,144.96516719999997
2364,2,15,-37.81380667,144.96516719999997
2340,2,16,-37.81380667,144.96516719999997
2396,2,17,-37.81380667,144.96516719999997
1485,1,10,-37.813494399999996,144.9651532
2122,1,11,-37.813494399999996,144.9651532
3311,1,12,-37.813494399999996,144.9651532
3514,1,13,-37.813494399999996,144.9651532
2943,1,14,-37.813494399999996,144.9651532
2873,1,15,-37.813494399999996,144.9651532
2919,1,16,-37.813494399999996,144.9651532
3342,1,17,-37.813494399999996,144.9651532
745,15,10,-37.81064378,144.9644713
943,15,11,-37.81064378,144.9644713
1534,15,12,-37.81064378,144.9644713
1652,15,13,-37.81064378,144.9644713
1494,15,14,-37.81064378,144.9644713
1535,15,15,-37.81064378,144.9644713
1684,15,16,-37.81064378,144.9644713
2099,15,17,-37.81064378,144.9644713
850,9,10,-37.81982992,144.9510256
750,9,11,-37.81982992,144.9510256
1553,9,12,-37.81982992,144.9510256
1350,9,13,-37.81982992,144.9510256
908,9,14,-37.81982992,144.9510256
1301,9,15,-37.81982992,144.9510256
2661,9,16,-37.81982992,144.9510256
3415,9,17,-37.81982992,144.9510256
252,10,10,-37.81876473,144.9471055
241,10,11,-37.81876473,144.9471055
446,10,12,-37.81876473,144.9471055
392,10,13,-37.81876473,144.9471055
255,10,14,-37.81876473,144.9471055
296,10,15,-37.81876473,144.9471055
525,10,16,-37.81876473,144.9471055
658,10,17,-37.81876473,144.9471055
197,12,10,-37.81457987,144.942924
225,12,11,-37.81457987,144.942924
428,12,12,-37.81457987,144.942924
423,12,13,-37.81457987,144.942924
283,12,14,-37.81457987,144.942924
259,12,15,-37.81457987,144.942924
293,12,16,-37.81457987,144.942924
433,12,17,-37.81457987,144.942924
87,11,10,-37.81564989,144.939707
105,11,11,-37.81564989,144.939707
228,11,12,-37.81564989,144.939707
220,11,13,-37.81564989,144.939707
145,11,14,-37.81564989,144.939707
122,11,15,-37.81564989,144.939707
139,11,16,-37.81564989,144.939707
195,11,17,-37.81564989,144.939707
197,8,10,-37.82293543,144.94717509999998
236,8,11,-37.82293543,144.94717509999998
611,8,12,-37.82293543,144.94717509999998
521,8,13,-37.82293543,144.94717509999998
275,8,14,-37.82293543,144.94717509999998
272,8,15,-37.82293543,144.94717509999998
